@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.9915, 0.9949, 0.9978, 0.9893, 1958439.79, 0.9949, 0.9882, 1.02, 0.9864, 6459780.26, 0.9882, 0.9916, 1.02, 0.986, 2328113.96, 0.9916, 0.9903, 1.02, 0.9874, 1003367.03, 0.9903, 0.9916, 1.02, 0.988, 1190224.91, 1.01 
0.9949, 0.9882, 1.02, 0.9864, 6459780.26, 0.9882, 0.9916, 1.02, 0.986, 2328113.96, 0.9916, 0.9903, 1.02, 0.9874, 1003367.03, 0.9903, 0.9916, 1.02, 0.988, 1190224.91, 0.9916, 0.997, 1.02, 0.9882, 3484303.28, 1 
0.9882, 0.9916, 1.02, 0.986, 2328113.96, 0.9916, 0.9903, 1.02, 0.9874, 1003367.03, 0.9903, 0.9916, 1.02, 0.988, 1190224.91, 0.9916, 0.997, 1.02, 0.9882, 3484303.28, 0.997, 1, 1, 0.9945, 5511402.74, 1.01 
0.9916, 0.9903, 1.02, 0.9874, 1003367.03, 0.9903, 0.9916, 1.02, 0.988, 1190224.91, 0.9916, 0.997, 1.02, 0.9882, 3484303.28, 0.997, 1, 1, 0.9945, 5511402.74, 1, 1, 1.01, 0.9973, 5080816.75, 1.01 
0.9903, 0.9916, 1.02, 0.988, 1190224.91, 0.9916, 0.997, 1.02, 0.9882, 3484303.28, 0.997, 1, 1, 0.9945, 5511402.74, 1, 1, 1.01, 0.9973, 5080816.75, 1, 1.01, 1.01, 1, 8761038.95, 1.01 
0.9916, 0.997, 1.02, 0.9882, 3484303.28, 0.997, 1, 1, 0.9945, 5511402.74, 1, 1, 1.01, 0.9973, 5080816.75, 1, 1.01, 1.01, 1, 8761038.95, 1.01, 1, 1.02, 0.9996, 4070315.1, 1.01 
0.997, 1, 1, 0.9945, 5511402.74, 1, 1, 1.01, 0.9973, 5080816.75, 1, 1.01, 1.01, 1, 8761038.95, 1.01, 1, 1.02, 0.9996, 4070315.1, 1, 1.01, 1.01, 0.9989, 2542226.99, 1.01 
1, 1, 1.01, 0.9973, 5080816.75, 1, 1.01, 1.01, 1, 8761038.95, 1.01, 1, 1.02, 0.9996, 4070315.1, 1, 1.01, 1.01, 0.9989, 2542226.99, 1.01, 1, 1.01, 1, 1444351.96, 1.01 
1, 1.01, 1.01, 1, 8761038.95, 1.01, 1, 1.02, 0.9996, 4070315.1, 1, 1.01, 1.01, 0.9989, 2542226.99, 1.01, 1, 1.01, 1, 1444351.96, 1, 1.01, 1.01, 1, 4422568.28, 1.01 
1.01, 1, 1.02, 0.9996, 4070315.1, 1, 1.01, 1.01, 0.9989, 2542226.99, 1.01, 1, 1.01, 1, 1444351.96, 1, 1.01, 1.01, 1, 4422568.28, 1.01, 1.01, 1.01, 1, 2263535.5, 0.9992 
