@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.3297, 0.2638, 0.3297, 0.2638, 245.23, 0.261, 0.261, 0.261, 0.261, 0, 0.2597, 0.2597, 0.3246, 0.2597, 107.26, 0.2632, 0.2632, 0.2632, 0.2632, 17.53, 0.2653, 0.3316, 0.3316, 0.2653, 32.8, 0.2484 
0.261, 0.261, 0.261, 0.261, 0, 0.2597, 0.2597, 0.3246, 0.2597, 107.26, 0.2632, 0.2632, 0.2632, 0.2632, 17.53, 0.2653, 0.3316, 0.3316, 0.2653, 32.8, 0.3295, 0.2636, 0.3295, 0.2636, 303.77, 0.25 
0.2597, 0.2597, 0.3246, 0.2597, 107.26, 0.2632, 0.2632, 0.2632, 0.2632, 17.53, 0.2653, 0.3316, 0.3316, 0.2653, 32.8, 0.3295, 0.2636, 0.3295, 0.2636, 303.77, 0.264, 0.264, 0.264, 0.264, 79.2, 0.3134 
0.2632, 0.2632, 0.2632, 0.2632, 17.53, 0.2653, 0.3316, 0.3316, 0.2653, 32.8, 0.3295, 0.2636, 0.3295, 0.2636, 303.77, 0.264, 0.264, 0.264, 0.264, 79.2, 0.266, 0.266, 0.266, 0.266, 0, 0.2511 
0.2653, 0.3316, 0.3316, 0.2653, 32.8, 0.3295, 0.2636, 0.3295, 0.2636, 303.77, 0.264, 0.264, 0.264, 0.264, 79.2, 0.266, 0.266, 0.266, 0.266, 0, 0.2653, 0.3316, 0.3316, 0.2653, 20.89, 0.2645 
0.3295, 0.2636, 0.3295, 0.2636, 303.77, 0.264, 0.264, 0.264, 0.264, 79.2, 0.266, 0.266, 0.266, 0.266, 0, 0.2653, 0.3316, 0.3316, 0.2653, 20.89, 0.3291, 0.2632, 0.3291, 0.2632, 775.62, 0.2633 
0.264, 0.264, 0.264, 0.264, 79.2, 0.266, 0.266, 0.266, 0.266, 0, 0.2653, 0.3316, 0.3316, 0.2653, 20.89, 0.3291, 0.2632, 0.3291, 0.2632, 775.62, 0.2484, 0.2484, 0.3105, 0.2484, 2855.98, 0.263 
0.266, 0.266, 0.266, 0.266, 0, 0.2653, 0.3316, 0.3316, 0.2653, 20.89, 0.3291, 0.2632, 0.3291, 0.2632, 775.62, 0.2484, 0.2484, 0.3105, 0.2484, 2855.98, 0.25, 0.25, 0.3125, 0.25, 218.33, 0.2595 
0.2653, 0.3316, 0.3316, 0.2653, 20.89, 0.3291, 0.2632, 0.3291, 0.2632, 775.62, 0.2484, 0.2484, 0.3105, 0.2484, 2855.98, 0.25, 0.25, 0.3125, 0.25, 218.33, 0.2507, 0.3134, 0.3134, 0.2507, 0.188, 0.2588 
0.3291, 0.2632, 0.3291, 0.2632, 775.62, 0.2484, 0.2484, 0.3105, 0.2484, 2855.98, 0.25, 0.25, 0.3125, 0.25, 218.33, 0.2507, 0.3134, 0.3134, 0.2507, 0.188, 0.3139, 0.2511, 0.3139, 0.2511, 2.21, 0.2596 
0.2484, 0.2484, 0.3105, 0.2484, 2855.98, 0.25, 0.25, 0.3125, 0.25, 218.33, 0.2507, 0.3134, 0.3134, 0.2507, 0.188, 0.3139, 0.2511, 0.3139, 0.2511, 2.21, 0.2645, 0.2645, 0.3306, 0.2645, 1455.83, 0.2604 
0.25, 0.25, 0.3125, 0.25, 218.33, 0.2507, 0.3134, 0.3134, 0.2507, 0.188, 0.3139, 0.2511, 0.3139, 0.2511, 2.21, 0.2645, 0.2645, 0.3306, 0.2645, 1455.83, 0.2633, 0.2633, 0.2633, 0.2633, 210.38, 0.2593 
0.2507, 0.3134, 0.3134, 0.2507, 0.188, 0.3139, 0.2511, 0.3139, 0.2511, 2.21, 0.2645, 0.2645, 0.3306, 0.2645, 1455.83, 0.2633, 0.2633, 0.2633, 0.2633, 210.38, 0.263, 0.263, 0.263, 0.263, 91.58, 0.2588 
0.3139, 0.2511, 0.3139, 0.2511, 2.21, 0.2645, 0.2645, 0.3306, 0.2645, 1455.83, 0.2633, 0.2633, 0.2633, 0.2633, 210.38, 0.263, 0.263, 0.263, 0.263, 91.58, 0.2595, 0.2595, 0.2595, 0.2595, 25.95, 0.2591 
0.2645, 0.2645, 0.3306, 0.2645, 1455.83, 0.2633, 0.2633, 0.2633, 0.2633, 210.38, 0.263, 0.263, 0.263, 0.263, 91.58, 0.2595, 0.2595, 0.2595, 0.2595, 25.95, 0.2588, 0.2588, 0.3235, 0.2588, 29.63, 0.2585 
0.2633, 0.2633, 0.2633, 0.2633, 210.38, 0.263, 0.263, 0.263, 0.263, 91.58, 0.2595, 0.2595, 0.2595, 0.2595, 25.95, 0.2588, 0.2588, 0.3235, 0.2588, 29.63, 0.2596, 0.2596, 0.2596, 0.2596, 0, 0.3229 
0.263, 0.263, 0.263, 0.263, 91.58, 0.2595, 0.2595, 0.2595, 0.2595, 25.95, 0.2588, 0.2588, 0.3235, 0.2588, 29.63, 0.2596, 0.2596, 0.2596, 0.2596, 0, 0.2604, 0.2604, 0.2604, 0.2604, 0, 0.2588 
0.2595, 0.2595, 0.2595, 0.2595, 25.95, 0.2588, 0.2588, 0.3235, 0.2588, 29.63, 0.2596, 0.2596, 0.2596, 0.2596, 0, 0.2604, 0.2604, 0.2604, 0.2604, 0, 0.2593, 0.2593, 0.3242, 0.2593, 2.59, 0.2588 
0.2588, 0.2588, 0.3235, 0.2588, 29.63, 0.2596, 0.2596, 0.2596, 0.2596, 0, 0.2604, 0.2604, 0.2604, 0.2604, 0, 0.2593, 0.2593, 0.3242, 0.2593, 2.59, 0.2588, 0.2588, 0.2588, 0.2588, 0, 0.2526 
0.2596, 0.2596, 0.2596, 0.2596, 0, 0.2604, 0.2604, 0.2604, 0.2604, 0, 0.2593, 0.2593, 0.3242, 0.2593, 2.59, 0.2588, 0.2588, 0.2588, 0.2588, 0, 0.2591, 0.2591, 0.2591, 0.2591, 0, 0.2524 
0.2604, 0.2604, 0.2604, 0.2604, 0, 0.2593, 0.2593, 0.3242, 0.2593, 2.59, 0.2588, 0.2588, 0.2588, 0.2588, 0, 0.2591, 0.2591, 0.2591, 0.2591, 0, 0.2585, 0.2585, 0.2585, 0.2585, 149.13, 0.3171 
0.2593, 0.2593, 0.3242, 0.2593, 2.59, 0.2588, 0.2588, 0.2588, 0.2588, 0, 0.2591, 0.2591, 0.2591, 0.2591, 0, 0.2585, 0.2585, 0.2585, 0.2585, 149.13, 0.2583, 0.3229, 0.3229, 0.2583, 0.6458, 0.3191 
0.2588, 0.2588, 0.2588, 0.2588, 0, 0.2591, 0.2591, 0.2591, 0.2591, 0, 0.2585, 0.2585, 0.2585, 0.2585, 149.13, 0.2583, 0.3229, 0.3229, 0.2583, 0.6458, 0.3235, 0.2588, 0.3235, 0.2588, 506.86, 0.3837 
0.2591, 0.2591, 0.2591, 0.2591, 0, 0.2585, 0.2585, 0.2585, 0.2585, 149.13, 0.2583, 0.3229, 0.3229, 0.2583, 0.6458, 0.3235, 0.2588, 0.3235, 0.2588, 506.86, 0.2588, 0.2588, 0.3882, 0.2588, 116.43, 0.3188 
0.2585, 0.2585, 0.2585, 0.2585, 149.13, 0.2583, 0.3229, 0.3229, 0.2583, 0.6458, 0.3235, 0.2588, 0.3235, 0.2588, 506.86, 0.2588, 0.2588, 0.3882, 0.2588, 116.43, 0.2526, 0.2526, 0.2526, 0.2526, 100.96, 0.3234 
0.2583, 0.3229, 0.3229, 0.2583, 0.6458, 0.3235, 0.2588, 0.3235, 0.2588, 506.86, 0.2588, 0.2588, 0.3882, 0.2588, 116.43, 0.2526, 0.2526, 0.2526, 0.2526, 100.96, 0.2524, 0.2524, 0.3155, 0.2524, 176.48, 0.386 
0.3235, 0.2588, 0.3235, 0.2588, 506.86, 0.2588, 0.2588, 0.3882, 0.2588, 116.43, 0.2526, 0.2526, 0.2526, 0.2526, 100.96, 0.2524, 0.2524, 0.3155, 0.2524, 176.48, 0.2537, 0.3171, 0.3171, 0.2537, 369.8, 0.324 
0.2588, 0.2588, 0.3882, 0.2588, 116.43, 0.2526, 0.2526, 0.2526, 0.2526, 100.96, 0.2524, 0.2524, 0.3155, 0.2524, 176.48, 0.2537, 0.3171, 0.3171, 0.2537, 369.8, 0.3191, 0.3191, 0.3191, 0.3191, 0, 0.3265 
0.2526, 0.2526, 0.2526, 0.2526, 100.96, 0.2524, 0.2524, 0.3155, 0.2524, 176.48, 0.2537, 0.3171, 0.3171, 0.2537, 369.8, 0.3191, 0.3191, 0.3191, 0.3191, 0, 0.3197, 0.3837, 0.3837, 0.2558, 473.06, 0.3868 
0.2524, 0.2524, 0.3155, 0.2524, 176.48, 0.2537, 0.3171, 0.3171, 0.2537, 369.8, 0.3191, 0.3191, 0.3191, 0.3191, 0, 0.3197, 0.3837, 0.3837, 0.2558, 473.06, 0.3826, 0.3188, 0.3826, 0.3188, 234.6, 0.3827 
0.2537, 0.3171, 0.3171, 0.2537, 369.8, 0.3191, 0.3191, 0.3191, 0.3191, 0, 0.3197, 0.3837, 0.3837, 0.2558, 473.06, 0.3826, 0.3188, 0.3826, 0.3188, 234.6, 0.3234, 0.3234, 0.388, 0.3234, 1.55, 0.5117 
0.3191, 0.3191, 0.3191, 0.3191, 0, 0.3197, 0.3837, 0.3837, 0.2558, 473.06, 0.3826, 0.3188, 0.3826, 0.3188, 234.6, 0.3234, 0.3234, 0.388, 0.3234, 1.55, 0.3217, 0.386, 0.386, 0.2573, 225.96, 0.3204 
0.3197, 0.3837, 0.3837, 0.2558, 473.06, 0.3826, 0.3188, 0.3826, 0.3188, 234.6, 0.3234, 0.3234, 0.388, 0.3234, 1.55, 0.3217, 0.386, 0.386, 0.2573, 225.96, 0.3888, 0.324, 0.3888, 0.324, 86.25, 0.3188 
0.3826, 0.3188, 0.3826, 0.3188, 234.6, 0.3234, 0.3234, 0.388, 0.3234, 1.55, 0.3217, 0.386, 0.386, 0.2573, 225.96, 0.3888, 0.324, 0.3888, 0.324, 86.25, 0.3265, 0.3265, 0.3265, 0.3265, 4.05, 0.317 
0.3234, 0.3234, 0.388, 0.3234, 1.55, 0.3217, 0.386, 0.386, 0.2573, 225.96, 0.3888, 0.324, 0.3888, 0.324, 86.25, 0.3265, 0.3265, 0.3265, 0.3265, 4.05, 0.3223, 0.3868, 0.3868, 0.2578, 1018.41, 0.2871 
0.3217, 0.386, 0.386, 0.2573, 225.96, 0.3888, 0.324, 0.3888, 0.324, 86.25, 0.3265, 0.3265, 0.3265, 0.3265, 4.05, 0.3223, 0.3868, 0.3868, 0.2578, 1018.41, 0.3827, 0.3827, 0.3827, 0.3827, 1.15, 0.3388 
