@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
17.58, 16.78, 18.21, 15.71, 24304.66, 16.39, 17.24, 20.27, 15.8, 21950.83, 16.83, 17.12, 19.78, 16.19, 12123.19, 17.26, 17.76, 72.4, 16.9, 10719.4, 18.25, 18.46, 18.99, 15.98, 7155.47, 15.71 
16.39, 17.24, 20.27, 15.8, 21950.83, 16.83, 17.12, 19.78, 16.19, 12123.19, 17.26, 17.76, 72.4, 16.9, 10719.4, 18.25, 18.46, 18.99, 15.98, 7155.47, 18.2, 17.53, 20.13, 17.4, 2190.02, 17.52 
16.83, 17.12, 19.78, 16.19, 12123.19, 17.26, 17.76, 72.4, 16.9, 10719.4, 18.25, 18.46, 18.99, 15.98, 7155.47, 18.2, 17.53, 20.13, 17.4, 2190.02, 17.61, 18.79, 20.28, 17.61, 8668.95, 26.59 
17.26, 17.76, 72.4, 16.9, 10719.4, 18.25, 18.46, 18.99, 15.98, 7155.47, 18.2, 17.53, 20.13, 17.4, 2190.02, 17.61, 18.79, 20.28, 17.61, 8668.95, 18.42, 19.68, 42.36, 12.07, 31211.5, 19.38 
18.25, 18.46, 18.99, 15.98, 7155.47, 18.2, 17.53, 20.13, 17.4, 2190.02, 17.61, 18.79, 20.28, 17.61, 8668.95, 18.42, 19.68, 42.36, 12.07, 31211.5, 19.52, 18.65, 31.89, 11.61, 41541.2, 20.49 
18.2, 17.53, 20.13, 17.4, 2190.02, 17.61, 18.79, 20.28, 17.61, 8668.95, 18.42, 19.68, 42.36, 12.07, 31211.5, 19.52, 18.65, 31.89, 11.61, 41541.2, 18.46, 18.22, 89.65, 16.83, 35715.03, 21.34 
17.61, 18.79, 20.28, 17.61, 8668.95, 18.42, 19.68, 42.36, 12.07, 31211.5, 19.52, 18.65, 31.89, 11.61, 41541.2, 18.46, 18.22, 89.65, 16.83, 35715.03, 15.35, 15.71, 18.13, 14.48, 15669.47, 21.65 
18.42, 19.68, 42.36, 12.07, 31211.5, 19.52, 18.65, 31.89, 11.61, 41541.2, 18.46, 18.22, 89.65, 16.83, 35715.03, 15.35, 15.71, 18.13, 14.48, 15669.47, 16.05, 17.52, 1959.7, 15.69, 29824.65, 21.44 
19.52, 18.65, 31.89, 11.61, 41541.2, 18.46, 18.22, 89.65, 16.83, 35715.03, 15.35, 15.71, 18.13, 14.48, 15669.47, 16.05, 17.52, 1959.7, 15.69, 29824.65, 17.83, 26.59, 26.59, 17.83, 37916.01, 23.39 
18.46, 18.22, 89.65, 16.83, 35715.03, 15.35, 15.71, 18.13, 14.48, 15669.47, 16.05, 17.52, 1959.7, 15.69, 29824.65, 17.83, 26.59, 26.59, 17.83, 37916.01, 25.99, 19.38, 25.99, 17.57, 10830.32, 30.52 
