@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.02713, 0.0272, 0.02786, 0.02467, 552556.31, 0.02712, 0.0252, 0.02759, 0.0248, 643036.67, 0.02494, 0.02626, 0.02632, 0.008555, 568652.71, 0.02478, 0.02304, 0.03657, 0.01757, 335334.28, 0.02319, 0.0285, 0.03325, 0.02319, 453800.93, 0.04458 
0.02712, 0.0252, 0.02759, 0.0248, 643036.67, 0.02494, 0.02626, 0.02632, 0.008555, 568652.71, 0.02478, 0.02304, 0.03657, 0.01757, 335334.28, 0.02319, 0.0285, 0.03325, 0.02319, 453800.93, 0.02858, 0.02519, 0.03159, 0.02507, 468969.21, 0.03254 
0.02494, 0.02626, 0.02632, 0.008555, 568652.71, 0.02478, 0.02304, 0.03657, 0.01757, 335334.28, 0.02319, 0.0285, 0.03325, 0.02319, 453800.93, 0.02858, 0.02519, 0.03159, 0.02507, 468969.21, 0.02511, 0.03296, 0.03321, 0.02511, 833877.76, 0.03258 
0.02478, 0.02304, 0.03657, 0.01757, 335334.28, 0.02319, 0.0285, 0.03325, 0.02319, 453800.93, 0.02858, 0.02519, 0.03159, 0.02507, 468969.21, 0.02511, 0.03296, 0.03321, 0.02511, 833877.76, 0.03471, 0.02949, 0.04034, 0.02797, 525067.25, 0.03261 
0.02319, 0.0285, 0.03325, 0.02319, 453800.93, 0.02858, 0.02519, 0.03159, 0.02507, 468969.21, 0.02511, 0.03296, 0.03321, 0.02511, 833877.76, 0.03471, 0.02949, 0.04034, 0.02797, 525067.25, 0.02943, 0.04707, 0.04707, 0.02791, 984358.03, 0.03274 
0.02858, 0.02519, 0.03159, 0.02507, 468969.21, 0.02511, 0.03296, 0.03321, 0.02511, 833877.76, 0.03471, 0.02949, 0.04034, 0.02797, 525067.25, 0.02943, 0.04707, 0.04707, 0.02791, 984358.03, 0.04701, 0.04609, 0.04701, 0.04609, 137088.4, 0.03267 
0.02511, 0.03296, 0.03321, 0.02511, 833877.76, 0.03471, 0.02949, 0.04034, 0.02797, 525067.25, 0.02943, 0.04707, 0.04707, 0.02791, 984358.03, 0.04701, 0.04609, 0.04701, 0.04609, 137088.4, 0.04562, 0.04458, 0.04568, 0.04218, 665431.73, 0.02636 
0.03471, 0.02949, 0.04034, 0.02797, 525067.25, 0.02943, 0.04707, 0.04707, 0.02791, 984358.03, 0.04701, 0.04609, 0.04701, 0.04609, 137088.4, 0.04562, 0.04458, 0.04568, 0.04218, 665431.73, 0.04444, 0.03254, 0.04509, 0.03131, 297470.04, 0.02617 
0.02943, 0.04707, 0.04707, 0.02791, 984358.03, 0.04701, 0.04609, 0.04701, 0.04609, 137088.4, 0.04562, 0.04458, 0.04568, 0.04218, 665431.73, 0.04444, 0.03254, 0.04509, 0.03131, 297470.04, 0.03265, 0.03258, 0.04569, 0.02797, 371798.01, 0.02596 
0.04701, 0.04609, 0.04701, 0.04609, 137088.4, 0.04562, 0.04458, 0.04568, 0.04218, 665431.73, 0.04444, 0.03254, 0.04509, 0.03131, 297470.04, 0.03265, 0.03258, 0.04569, 0.02797, 371798.01, 0.03268, 0.03261, 0.03646, 0.02969, 486115.19, 0.01876 
