@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.01328, 0.01369, 0.0139, 0.01324, 687949.57, 0.01358, 0.01361, 0.01367, 0.01331, 555085.22, 0.01348, 0.01326, 0.01357, 0.01312, 470923.82, 0.01117, 0.01118, 0.01178, 0.011, 1015833.92, 0.01156, 0.01157, 0.01173, 0.01132, 670402.07, 0.01138 
0.01358, 0.01361, 0.01367, 0.01331, 555085.22, 0.01348, 0.01326, 0.01357, 0.01312, 470923.82, 0.01117, 0.01118, 0.01178, 0.011, 1015833.92, 0.01156, 0.01157, 0.01173, 0.01132, 670402.07, 0.01178, 0.01153, 0.0118, 0.01145, 373867.42, 0.0115 
0.01348, 0.01326, 0.01357, 0.01312, 470923.82, 0.01117, 0.01118, 0.01178, 0.011, 1015833.92, 0.01156, 0.01157, 0.01173, 0.01132, 670402.07, 0.01178, 0.01153, 0.0118, 0.01145, 373867.42, 0.01126, 0.01132, 0.01145, 0.0112, 332542.97, 0.01153 
0.01117, 0.01118, 0.01178, 0.011, 1015833.92, 0.01156, 0.01157, 0.01173, 0.01132, 670402.07, 0.01178, 0.01153, 0.0118, 0.01145, 373867.42, 0.01126, 0.01132, 0.01145, 0.0112, 332542.97, 0.01225, 0.01185, 0.01234, 0.0114, 1054915.58, 0.01136 
0.01156, 0.01157, 0.01173, 0.01132, 670402.07, 0.01178, 0.01153, 0.0118, 0.01145, 373867.42, 0.01126, 0.01132, 0.01145, 0.0112, 332542.97, 0.01225, 0.01185, 0.01234, 0.0114, 1054915.58, 0.01181, 0.01187, 0.01212, 0.01167, 543939.24, 0.01106 
0.01178, 0.01153, 0.0118, 0.01145, 373867.42, 0.01126, 0.01132, 0.01145, 0.0112, 332542.97, 0.01225, 0.01185, 0.01234, 0.0114, 1054915.58, 0.01181, 0.01187, 0.01212, 0.01167, 543939.24, 0.01172, 0.01177, 0.01186, 0.01155, 470621.7, 0.01177 
0.01126, 0.01132, 0.01145, 0.0112, 332542.97, 0.01225, 0.01185, 0.01234, 0.0114, 1054915.58, 0.01181, 0.01187, 0.01212, 0.01167, 543939.24, 0.01172, 0.01177, 0.01186, 0.01155, 470621.7, 0.01149, 0.01138, 0.01162, 0.01132, 525359.43, 0.01144 
0.01225, 0.01185, 0.01234, 0.0114, 1054915.58, 0.01181, 0.01187, 0.01212, 0.01167, 543939.24, 0.01172, 0.01177, 0.01186, 0.01155, 470621.7, 0.01149, 0.01138, 0.01162, 0.01132, 525359.43, 0.0114, 0.0115, 0.01301, 0.0113, 496143.35, 0.01129 
0.01181, 0.01187, 0.01212, 0.01167, 543939.24, 0.01172, 0.01177, 0.01186, 0.01155, 470621.7, 0.01149, 0.01138, 0.01162, 0.01132, 525359.43, 0.0114, 0.0115, 0.01301, 0.0113, 496143.35, 0.01162, 0.01153, 0.01169, 0.01149, 250402.27, 0.01111 
0.01172, 0.01177, 0.01186, 0.01155, 470621.7, 0.01149, 0.01138, 0.01162, 0.01132, 525359.43, 0.0114, 0.0115, 0.01301, 0.0113, 496143.35, 0.01162, 0.01153, 0.01169, 0.01149, 250402.27, 0.01149, 0.01136, 0.01166, 0.0113, 427275.15, 0.01087 
