@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.7015, 0.712, 0.7591, 0.7008, 460737.12, 0.709, 0.6977, 0.7162, 0.6872, 252229.33, 0.6904, 0.6884, 0.7054, 0.68, 279597.34, 0.6849, 0.6642, 0.6927, 0.657, 296161.54, 0.6744, 0.66, 0.6751, 0.6517, 430052.9, 0.6864 
0.709, 0.6977, 0.7162, 0.6872, 252229.33, 0.6904, 0.6884, 0.7054, 0.68, 279597.34, 0.6849, 0.6642, 0.6927, 0.657, 296161.54, 0.6744, 0.66, 0.6751, 0.6517, 430052.9, 0.6653, 0.6628, 0.6792, 0.6567, 203432.8, 0.6638 
0.6904, 0.6884, 0.7054, 0.68, 279597.34, 0.6849, 0.6642, 0.6927, 0.657, 296161.54, 0.6744, 0.66, 0.6751, 0.6517, 430052.9, 0.6653, 0.6628, 0.6792, 0.6567, 203432.8, 0.6603, 0.6497, 0.6715, 0.6475, 237762.57, 0.6657 
0.6849, 0.6642, 0.6927, 0.657, 296161.54, 0.6744, 0.66, 0.6751, 0.6517, 430052.9, 0.6653, 0.6628, 0.6792, 0.6567, 203432.8, 0.6603, 0.6497, 0.6715, 0.6475, 237762.57, 0.6508, 0.6608, 0.672, 0.6475, 286436.71, 0.6581 
0.6744, 0.66, 0.6751, 0.6517, 430052.9, 0.6653, 0.6628, 0.6792, 0.6567, 203432.8, 0.6603, 0.6497, 0.6715, 0.6475, 237762.57, 0.6508, 0.6608, 0.672, 0.6475, 286436.71, 0.6631, 0.687, 0.6976, 0.6549, 323283.39, 0.6529 
0.6653, 0.6628, 0.6792, 0.6567, 203432.8, 0.6603, 0.6497, 0.6715, 0.6475, 237762.57, 0.6508, 0.6608, 0.672, 0.6475, 286436.71, 0.6631, 0.687, 0.6976, 0.6549, 323283.39, 0.6851, 0.6665, 0.6997, 0.6617, 463308.54, 0.6718 
0.6603, 0.6497, 0.6715, 0.6475, 237762.57, 0.6508, 0.6608, 0.672, 0.6475, 286436.71, 0.6631, 0.687, 0.6976, 0.6549, 323283.39, 0.6851, 0.6665, 0.6997, 0.6617, 463308.54, 0.6614, 0.6864, 0.7101, 0.6526, 478088.17, 0.6688 
0.6508, 0.6608, 0.672, 0.6475, 286436.71, 0.6631, 0.687, 0.6976, 0.6549, 323283.39, 0.6851, 0.6665, 0.6997, 0.6617, 463308.54, 0.6614, 0.6864, 0.7101, 0.6526, 478088.17, 0.6476, 0.6638, 0.7433, 0.6284, 1186727.49, 0.6732 
0.6631, 0.687, 0.6976, 0.6549, 323283.39, 0.6851, 0.6665, 0.6997, 0.6617, 463308.54, 0.6614, 0.6864, 0.7101, 0.6526, 478088.17, 0.6476, 0.6638, 0.7433, 0.6284, 1186727.49, 0.6682, 0.6657, 0.6888, 0.6545, 385056.68, 0.6729 
0.6851, 0.6665, 0.6997, 0.6617, 463308.54, 0.6614, 0.6864, 0.7101, 0.6526, 478088.17, 0.6476, 0.6638, 0.7433, 0.6284, 1186727.49, 0.6682, 0.6657, 0.6888, 0.6545, 385056.68, 0.6675, 0.6581, 0.6693, 0.6487, 363956.91, 0.665 
0.6614, 0.6864, 0.7101, 0.6526, 478088.17, 0.6476, 0.6638, 0.7433, 0.6284, 1186727.49, 0.6682, 0.6657, 0.6888, 0.6545, 385056.68, 0.6675, 0.6581, 0.6693, 0.6487, 363956.91, 0.6592, 0.6529, 0.6654, 0.6416, 316937.91, 0.662 
0.6476, 0.6638, 0.7433, 0.6284, 1186727.49, 0.6682, 0.6657, 0.6888, 0.6545, 385056.68, 0.6675, 0.6581, 0.6693, 0.6487, 363956.91, 0.6592, 0.6529, 0.6654, 0.6416, 316937.91, 0.6877, 0.6718, 0.6923, 0.6589, 337875.74, 0.6673 
0.6682, 0.6657, 0.6888, 0.6545, 385056.68, 0.6675, 0.6581, 0.6693, 0.6487, 363956.91, 0.6592, 0.6529, 0.6654, 0.6416, 316937.91, 0.6877, 0.6718, 0.6923, 0.6589, 337875.74, 0.6688, 0.6688, 0.6866, 0.659, 196434.28, 0.6704 
0.6675, 0.6581, 0.6693, 0.6487, 363956.91, 0.6592, 0.6529, 0.6654, 0.6416, 316937.91, 0.6877, 0.6718, 0.6923, 0.6589, 337875.74, 0.6688, 0.6688, 0.6866, 0.659, 196434.28, 0.668, 0.6732, 0.6903, 0.6575, 342873.13, 0.6904 
0.6592, 0.6529, 0.6654, 0.6416, 316937.91, 0.6877, 0.6718, 0.6923, 0.6589, 337875.74, 0.6688, 0.6688, 0.6866, 0.659, 196434.28, 0.668, 0.6732, 0.6903, 0.6575, 342873.13, 0.6644, 0.6729, 0.6833, 0.6606, 281548.1, 0.702 
0.6877, 0.6718, 0.6923, 0.6589, 337875.74, 0.6688, 0.6688, 0.6866, 0.659, 196434.28, 0.668, 0.6732, 0.6903, 0.6575, 342873.13, 0.6644, 0.6729, 0.6833, 0.6606, 281548.1, 0.6709, 0.665, 0.6741, 0.6469, 251561.3, 0.6857 
0.6688, 0.6688, 0.6866, 0.659, 196434.28, 0.668, 0.6732, 0.6903, 0.6575, 342873.13, 0.6644, 0.6729, 0.6833, 0.6606, 281548.1, 0.6709, 0.665, 0.6741, 0.6469, 251561.3, 0.6614, 0.662, 0.6796, 0.651, 255782.04, 0.6696 
0.668, 0.6732, 0.6903, 0.6575, 342873.13, 0.6644, 0.6729, 0.6833, 0.6606, 281548.1, 0.6709, 0.665, 0.6741, 0.6469, 251561.3, 0.6614, 0.662, 0.6796, 0.651, 255782.04, 0.664, 0.6673, 0.6907, 0.6581, 246227.83, 0.6548 
