@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.2091, 0.2127, 0.2161, 0.2066, 118916.1, 0.2122, 0.2099, 0.2149, 0.2061, 94215.5, 0.2083, 0.2166, 0.234, 0.2063, 592608.07, 0.2044, 0.1866, 0.2053, 0.1716, 379908.08, 0.1878, 0.1791, 0.1925, 0.1729, 309389.7, 0.2521 
0.2122, 0.2099, 0.2149, 0.2061, 94215.5, 0.2083, 0.2166, 0.234, 0.2063, 592608.07, 0.2044, 0.1866, 0.2053, 0.1716, 379908.08, 0.1878, 0.1791, 0.1925, 0.1729, 309389.7, 0.1796, 0.2682, 0.2995, 0.1791, 5892113.69, 0.2536 
0.2083, 0.2166, 0.234, 0.2063, 592608.07, 0.2044, 0.1866, 0.2053, 0.1716, 379908.08, 0.1878, 0.1791, 0.1925, 0.1729, 309389.7, 0.1796, 0.2682, 0.2995, 0.1791, 5892113.69, 0.2679, 0.3155, 0.3622, 0.2448, 14195820.91, 0.2653 
0.2044, 0.1866, 0.2053, 0.1716, 379908.08, 0.1878, 0.1791, 0.1925, 0.1729, 309389.7, 0.1796, 0.2682, 0.2995, 0.1791, 5892113.69, 0.2679, 0.3155, 0.3622, 0.2448, 14195820.91, 0.3337, 0.2748, 0.3594, 0.2647, 4653267.27, 0.2538 
0.1878, 0.1791, 0.1925, 0.1729, 309389.7, 0.1796, 0.2682, 0.2995, 0.1791, 5892113.69, 0.2679, 0.3155, 0.3622, 0.2448, 14195820.91, 0.3337, 0.2748, 0.3594, 0.2647, 4653267.27, 0.2736, 0.2712, 0.2894, 0.2482, 2150180.45, 0.2567 
0.1796, 0.2682, 0.2995, 0.1791, 5892113.69, 0.2679, 0.3155, 0.3622, 0.2448, 14195820.91, 0.3337, 0.2748, 0.3594, 0.2647, 4653267.27, 0.2736, 0.2712, 0.2894, 0.2482, 2150180.45, 0.2708, 0.2598, 0.2909, 0.256, 910828.4, 0.2573 
0.2679, 0.3155, 0.3622, 0.2448, 14195820.91, 0.3337, 0.2748, 0.3594, 0.2647, 4653267.27, 0.2736, 0.2712, 0.2894, 0.2482, 2150180.45, 0.2708, 0.2598, 0.2909, 0.256, 910828.4, 0.2564, 0.2521, 0.2659, 0.2441, 494364.57, 0.271 
0.3337, 0.2748, 0.3594, 0.2647, 4653267.27, 0.2736, 0.2712, 0.2894, 0.2482, 2150180.45, 0.2708, 0.2598, 0.2909, 0.256, 910828.4, 0.2564, 0.2521, 0.2659, 0.2441, 494364.57, 0.2513, 0.2536, 0.2649, 0.244, 368342.84, 0.2584 
0.2736, 0.2712, 0.2894, 0.2482, 2150180.45, 0.2708, 0.2598, 0.2909, 0.256, 910828.4, 0.2564, 0.2521, 0.2659, 0.2441, 494364.57, 0.2513, 0.2536, 0.2649, 0.244, 368342.84, 0.2544, 0.2653, 0.2768, 0.2509, 718904.1, 0.2562 
0.2708, 0.2598, 0.2909, 0.256, 910828.4, 0.2564, 0.2521, 0.2659, 0.2441, 494364.57, 0.2513, 0.2536, 0.2649, 0.244, 368342.84, 0.2544, 0.2653, 0.2768, 0.2509, 718904.1, 0.2661, 0.2538, 0.2694, 0.252, 244083.27, 0.2501 
0.2564, 0.2521, 0.2659, 0.2441, 494364.57, 0.2513, 0.2536, 0.2649, 0.244, 368342.84, 0.2544, 0.2653, 0.2768, 0.2509, 718904.1, 0.2661, 0.2538, 0.2694, 0.252, 244083.27, 0.2528, 0.2567, 0.2614, 0.2452, 451448.02, 0.2634 
0.2513, 0.2536, 0.2649, 0.244, 368342.84, 0.2544, 0.2653, 0.2768, 0.2509, 718904.1, 0.2661, 0.2538, 0.2694, 0.252, 244083.27, 0.2528, 0.2567, 0.2614, 0.2452, 451448.02, 0.2562, 0.2573, 0.2703, 0.2533, 592443.03, 0.2581 
0.2544, 0.2653, 0.2768, 0.2509, 718904.1, 0.2661, 0.2538, 0.2694, 0.252, 244083.27, 0.2528, 0.2567, 0.2614, 0.2452, 451448.02, 0.2562, 0.2573, 0.2703, 0.2533, 592443.03, 0.2575, 0.271, 0.2818, 0.2507, 946214.93, 0.2871 
0.2661, 0.2538, 0.2694, 0.252, 244083.27, 0.2528, 0.2567, 0.2614, 0.2452, 451448.02, 0.2562, 0.2573, 0.2703, 0.2533, 592443.03, 0.2575, 0.271, 0.2818, 0.2507, 946214.93, 0.2714, 0.2584, 0.2714, 0.2532, 349017, 0.2776 
0.2528, 0.2567, 0.2614, 0.2452, 451448.02, 0.2562, 0.2573, 0.2703, 0.2533, 592443.03, 0.2575, 0.271, 0.2818, 0.2507, 946214.93, 0.2714, 0.2584, 0.2714, 0.2532, 349017, 0.2582, 0.2562, 0.26, 0.25, 182311.15, 0.2758 
0.2562, 0.2573, 0.2703, 0.2533, 592443.03, 0.2575, 0.271, 0.2818, 0.2507, 946214.93, 0.2714, 0.2584, 0.2714, 0.2532, 349017, 0.2582, 0.2562, 0.26, 0.25, 182311.15, 0.2567, 0.2501, 0.2567, 0.2475, 158551.4, 0.2855 
0.2575, 0.271, 0.2818, 0.2507, 946214.93, 0.2714, 0.2584, 0.2714, 0.2532, 349017, 0.2582, 0.2562, 0.26, 0.25, 182311.15, 0.2567, 0.2501, 0.2567, 0.2475, 158551.4, 0.2503, 0.2634, 0.2845, 0.2491, 784807.15, 0.3019 
0.2714, 0.2584, 0.2714, 0.2532, 349017, 0.2582, 0.2562, 0.26, 0.25, 182311.15, 0.2567, 0.2501, 0.2567, 0.2475, 158551.4, 0.2503, 0.2634, 0.2845, 0.2491, 784807.15, 0.257, 0.2581, 0.2715, 0.2464, 717701.77, 0.2924 
0.2582, 0.2562, 0.26, 0.25, 182311.15, 0.2567, 0.2501, 0.2567, 0.2475, 158551.4, 0.2503, 0.2634, 0.2845, 0.2491, 784807.15, 0.257, 0.2581, 0.2715, 0.2464, 717701.77, 0.2579, 0.2871, 0.3114, 0.2543, 1876725.33, 0.2923 
0.2567, 0.2501, 0.2567, 0.2475, 158551.4, 0.2503, 0.2634, 0.2845, 0.2491, 784807.15, 0.257, 0.2581, 0.2715, 0.2464, 717701.77, 0.2579, 0.2871, 0.3114, 0.2543, 1876725.33, 0.2888, 0.2776, 0.2904, 0.2593, 847465.33, 0.3003 
0.2503, 0.2634, 0.2845, 0.2491, 784807.15, 0.257, 0.2581, 0.2715, 0.2464, 717701.77, 0.2579, 0.2871, 0.3114, 0.2543, 1876725.33, 0.2888, 0.2776, 0.2904, 0.2593, 847465.33, 0.2785, 0.2758, 0.2873, 0.2744, 272319.96, 0.3081 
0.257, 0.2581, 0.2715, 0.2464, 717701.77, 0.2579, 0.2871, 0.3114, 0.2543, 1876725.33, 0.2888, 0.2776, 0.2904, 0.2593, 847465.33, 0.2785, 0.2758, 0.2873, 0.2744, 272319.96, 0.2764, 0.2855, 0.2927, 0.2739, 328693.3, 0.2852 
0.2579, 0.2871, 0.3114, 0.2543, 1876725.33, 0.2888, 0.2776, 0.2904, 0.2593, 847465.33, 0.2785, 0.2758, 0.2873, 0.2744, 272319.96, 0.2764, 0.2855, 0.2927, 0.2739, 328693.3, 0.2846, 0.3019, 0.3172, 0.2771, 1369005.4, 0.2776 
0.2888, 0.2776, 0.2904, 0.2593, 847465.33, 0.2785, 0.2758, 0.2873, 0.2744, 272319.96, 0.2764, 0.2855, 0.2927, 0.2739, 328693.3, 0.2846, 0.3019, 0.3172, 0.2771, 1369005.4, 0.307, 0.2924, 0.3204, 0.2909, 1147375.85, 0.2834 
0.2785, 0.2758, 0.2873, 0.2744, 272319.96, 0.2764, 0.2855, 0.2927, 0.2739, 328693.3, 0.2846, 0.3019, 0.3172, 0.2771, 1369005.4, 0.307, 0.2924, 0.3204, 0.2909, 1147375.85, 0.2913, 0.2923, 0.3041, 0.2831, 480336.3, 0.3107 
0.2764, 0.2855, 0.2927, 0.2739, 328693.3, 0.2846, 0.3019, 0.3172, 0.2771, 1369005.4, 0.307, 0.2924, 0.3204, 0.2909, 1147375.85, 0.2913, 0.2923, 0.3041, 0.2831, 480336.3, 0.2922, 0.3003, 0.3094, 0.2742, 1041974.03, 0.3098 
0.2846, 0.3019, 0.3172, 0.2771, 1369005.4, 0.307, 0.2924, 0.3204, 0.2909, 1147375.85, 0.2913, 0.2923, 0.3041, 0.2831, 480336.3, 0.2922, 0.3003, 0.3094, 0.2742, 1041974.03, 0.3025, 0.3081, 0.3157, 0.2955, 555267.68, 0.2934 
0.307, 0.2924, 0.3204, 0.2909, 1147375.85, 0.2913, 0.2923, 0.3041, 0.2831, 480336.3, 0.2922, 0.3003, 0.3094, 0.2742, 1041974.03, 0.3025, 0.3081, 0.3157, 0.2955, 555267.68, 0.3041, 0.2852, 0.3056, 0.2801, 407302.11, 0.2463 
0.2913, 0.2923, 0.3041, 0.2831, 480336.3, 0.2922, 0.3003, 0.3094, 0.2742, 1041974.03, 0.3025, 0.3081, 0.3157, 0.2955, 555267.68, 0.3041, 0.2852, 0.3056, 0.2801, 407302.11, 0.2826, 0.2776, 0.2934, 0.2755, 277918.13, 0.2272 
0.2922, 0.3003, 0.3094, 0.2742, 1041974.03, 0.3025, 0.3081, 0.3157, 0.2955, 555267.68, 0.3041, 0.2852, 0.3056, 0.2801, 407302.11, 0.2826, 0.2776, 0.2934, 0.2755, 277918.13, 0.2784, 0.2834, 0.2858, 0.2751, 125978.67, 0.2201 
0.3025, 0.3081, 0.3157, 0.2955, 555267.68, 0.3041, 0.2852, 0.3056, 0.2801, 407302.11, 0.2826, 0.2776, 0.2934, 0.2755, 277918.13, 0.2784, 0.2834, 0.2858, 0.2751, 125978.67, 0.2839, 0.3107, 0.3364, 0.2799, 2662708.01, 0.2047 
0.3041, 0.2852, 0.3056, 0.2801, 407302.11, 0.2826, 0.2776, 0.2934, 0.2755, 277918.13, 0.2784, 0.2834, 0.2858, 0.2751, 125978.67, 0.2839, 0.3107, 0.3364, 0.2799, 2662708.01, 0.3096, 0.3098, 0.3277, 0.2987, 2126454.19, 0.2123 
0.2826, 0.2776, 0.2934, 0.2755, 277918.13, 0.2784, 0.2834, 0.2858, 0.2751, 125978.67, 0.2839, 0.3107, 0.3364, 0.2799, 2662708.01, 0.3096, 0.3098, 0.3277, 0.2987, 2126454.19, 0.3084, 0.2934, 0.3106, 0.2916, 631055.28, 0.1587 
