@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
1.06, 1.09, 1.12, 1.05, 1784617.39, 1.09, 1.08, 1.11, 1.07, 1024672.7, 1.07, 1.12, 1.14, 1.05, 2599885.37, 1.05, 0.9165, 1.06, 0.8799, 3914306.35, 0.9226, 0.9383, 0.9664, 0.9082, 1201129.29, 0.998 
1.09, 1.08, 1.11, 1.07, 1024672.7, 1.07, 1.12, 1.14, 1.05, 2599885.37, 1.05, 0.9165, 1.06, 0.8799, 3914306.35, 0.9226, 0.9383, 0.9664, 0.9082, 1201129.29, 0.9407, 0.9664, 0.9764, 0.9326, 1211539.95, 0.9995 
1.07, 1.12, 1.14, 1.05, 2599885.37, 1.05, 0.9165, 1.06, 0.8799, 3914306.35, 0.9226, 0.9383, 0.9664, 0.9082, 1201129.29, 0.9407, 0.9664, 0.9764, 0.9326, 1211539.95, 0.9712, 0.9567, 0.98, 0.9498, 1284679.94, 1.01 
1.05, 0.9165, 1.06, 0.8799, 3914306.35, 0.9226, 0.9383, 0.9664, 0.9082, 1201129.29, 0.9407, 0.9664, 0.9764, 0.9326, 1211539.95, 0.9712, 0.9567, 0.98, 0.9498, 1284679.94, 1.01, 0.9938, 1.04, 0.9244, 2594654.49, 0.9895 
0.9226, 0.9383, 0.9664, 0.9082, 1201129.29, 0.9407, 0.9664, 0.9764, 0.9326, 1211539.95, 0.9712, 0.9567, 0.98, 0.9498, 1284679.94, 1.01, 0.9938, 1.04, 0.9244, 2594654.49, 0.9894, 0.9947, 1.02, 0.9743, 1822148.82, 0.9965 
0.9407, 0.9664, 0.9764, 0.9326, 1211539.95, 0.9712, 0.9567, 0.98, 0.9498, 1284679.94, 1.01, 0.9938, 1.04, 0.9244, 2594654.49, 0.9894, 0.9947, 1.02, 0.9743, 1822148.82, 0.9934, 1.06, 1.07, 0.9888, 2789797.5, 0.977 
0.9712, 0.9567, 0.98, 0.9498, 1284679.94, 1.01, 0.9938, 1.04, 0.9244, 2594654.49, 0.9894, 0.9947, 1.02, 0.9743, 1822148.82, 0.9934, 1.06, 1.07, 0.9888, 2789797.5, 1.04, 0.998, 1.05, 0.9668, 2408482.47, 1.02 
1.01, 0.9938, 1.04, 0.9244, 2594654.49, 0.9894, 0.9947, 1.02, 0.9743, 1822148.82, 0.9934, 1.06, 1.07, 0.9888, 2789797.5, 1.04, 0.998, 1.05, 0.9668, 2408482.47, 0.9917, 0.9995, 1.01, 0.9833, 1082520.72, 1.06 
0.9894, 0.9947, 1.02, 0.9743, 1822148.82, 0.9934, 1.06, 1.07, 0.9888, 2789797.5, 1.04, 0.998, 1.05, 0.9668, 2408482.47, 0.9917, 0.9995, 1.01, 0.9833, 1082520.72, 1, 1.01, 1.02, 0.9924, 1140324.24, 1.06 
0.9934, 1.06, 1.07, 0.9888, 2789797.5, 1.04, 0.998, 1.05, 0.9668, 2408482.47, 0.9917, 0.9995, 1.01, 0.9833, 1082520.72, 1, 1.01, 1.02, 0.9924, 1140324.24, 1.01, 0.9895, 1.03, 0.9856, 927539.96, 1.01 
1.04, 0.998, 1.05, 0.9668, 2408482.47, 0.9917, 0.9995, 1.01, 0.9833, 1082520.72, 1, 1.01, 1.02, 0.9924, 1140324.24, 1.01, 0.9895, 1.03, 0.9856, 927539.96, 0.9855, 0.9965, 1.01, 0.9608, 1271378.04, 1.07 
0.9917, 0.9995, 1.01, 0.9833, 1082520.72, 1, 1.01, 1.02, 0.9924, 1140324.24, 1.01, 0.9895, 1.03, 0.9856, 927539.96, 0.9855, 0.9965, 1.01, 0.9608, 1271378.04, 0.9945, 0.977, 1.01, 0.9641, 1405393.26, 1.02 
1, 1.01, 1.02, 0.9924, 1140324.24, 1.01, 0.9895, 1.03, 0.9856, 927539.96, 0.9855, 0.9965, 1.01, 0.9608, 1271378.04, 0.9945, 0.977, 1.01, 0.9641, 1405393.26, 0.9779, 1.02, 1.05, 0.9734, 2542694.46, 1.08 
1.01, 0.9895, 1.03, 0.9856, 927539.96, 0.9855, 0.9965, 1.01, 0.9608, 1271378.04, 0.9945, 0.977, 1.01, 0.9641, 1405393.26, 0.9779, 1.02, 1.05, 0.9734, 2542694.46, 1.02, 1.06, 1.09, 0.992, 4155441.56, 1.13 
0.9855, 0.9965, 1.01, 0.9608, 1271378.04, 0.9945, 0.977, 1.01, 0.9641, 1405393.26, 0.9779, 1.02, 1.05, 0.9734, 2542694.46, 1.02, 1.06, 1.09, 0.992, 4155441.56, 1.05, 1.06, 1.12, 1.05, 3700401.51, 1.1 
0.9945, 0.977, 1.01, 0.9641, 1405393.26, 0.9779, 1.02, 1.05, 0.9734, 2542694.46, 1.02, 1.06, 1.09, 0.992, 4155441.56, 1.05, 1.06, 1.12, 1.05, 3700401.51, 1.06, 1.01, 1.07, 1, 1912160.59, 1.07 
0.9779, 1.02, 1.05, 0.9734, 2542694.46, 1.02, 1.06, 1.09, 0.992, 4155441.56, 1.05, 1.06, 1.12, 1.05, 3700401.51, 1.06, 1.01, 1.07, 1, 1912160.59, 1.01, 1.07, 1.08, 1, 1796076.83, 1.08 
1.02, 1.06, 1.09, 0.992, 4155441.56, 1.05, 1.06, 1.12, 1.05, 3700401.51, 1.06, 1.01, 1.07, 1, 1912160.59, 1.01, 1.07, 1.08, 1, 1796076.83, 1.04, 1.02, 1.09, 0.99, 3289816.13, 1.04 
1.05, 1.06, 1.12, 1.05, 3700401.51, 1.06, 1.01, 1.07, 1, 1912160.59, 1.01, 1.07, 1.08, 1, 1796076.83, 1.04, 1.02, 1.09, 0.99, 3289816.13, 1.02, 1.08, 1.12, 1.02, 4384199.68, 1.01 
1.06, 1.01, 1.07, 1, 1912160.59, 1.01, 1.07, 1.08, 1, 1796076.83, 1.04, 1.02, 1.09, 0.99, 3289816.13, 1.02, 1.08, 1.12, 1.02, 4384199.68, 1.08, 1.13, 1.16, 1.06, 4179078.8, 1.03 
1.01, 1.07, 1.08, 1, 1796076.83, 1.04, 1.02, 1.09, 0.99, 3289816.13, 1.02, 1.08, 1.12, 1.02, 4384199.68, 1.08, 1.13, 1.16, 1.06, 4179078.8, 1.14, 1.1, 1.14, 1.09, 1825265.68, 1.05 
1.04, 1.02, 1.09, 0.99, 3289816.13, 1.02, 1.08, 1.12, 1.02, 4384199.68, 1.08, 1.13, 1.16, 1.06, 4179078.8, 1.14, 1.1, 1.14, 1.09, 1825265.68, 1.1, 1.07, 1.11, 1.06, 1838745.85, 1 
1.02, 1.08, 1.12, 1.02, 4384199.68, 1.08, 1.13, 1.16, 1.06, 4179078.8, 1.14, 1.1, 1.14, 1.09, 1825265.68, 1.1, 1.07, 1.11, 1.06, 1838745.85, 1.07, 1.08, 1.08, 1.04, 1155163.99, 0.9663 
1.08, 1.13, 1.16, 1.06, 4179078.8, 1.14, 1.1, 1.14, 1.09, 1825265.68, 1.1, 1.07, 1.11, 1.06, 1838745.85, 1.07, 1.08, 1.08, 1.04, 1155163.99, 1.09, 1.04, 1.09, 1.04, 1791544.63, 0.9678 
1.14, 1.1, 1.14, 1.09, 1825265.68, 1.1, 1.07, 1.11, 1.06, 1838745.85, 1.07, 1.08, 1.08, 1.04, 1155163.99, 1.09, 1.04, 1.09, 1.04, 1791544.63, 1.04, 1.01, 1.04, 0.9856, 1945358.9, 0.9305 
1.1, 1.07, 1.11, 1.06, 1838745.85, 1.07, 1.08, 1.08, 1.04, 1155163.99, 1.09, 1.04, 1.09, 1.04, 1791544.63, 1.04, 1.01, 1.04, 0.9856, 1945358.9, 1.01, 1.03, 1.04, 0.9836, 1542735.17, 0.9327 
1.07, 1.08, 1.08, 1.04, 1155163.99, 1.09, 1.04, 1.09, 1.04, 1791544.63, 1.04, 1.01, 1.04, 0.9856, 1945358.9, 1.01, 1.03, 1.04, 0.9836, 1542735.17, 1.04, 1.05, 1.06, 1.02, 1464263.59, 0.8729 
1.09, 1.04, 1.09, 1.04, 1791544.63, 1.04, 1.01, 1.04, 0.9856, 1945358.9, 1.01, 1.03, 1.04, 0.9836, 1542735.17, 1.04, 1.05, 1.06, 1.02, 1464263.59, 1.03, 1, 1.04, 0.9927, 1288605.83, 0.7544 
1.04, 1.01, 1.04, 0.9856, 1945358.9, 1.01, 1.03, 1.04, 0.9836, 1542735.17, 1.04, 1.05, 1.06, 1.02, 1464263.59, 1.03, 1, 1.04, 0.9927, 1288605.83, 0.9937, 0.9663, 1, 0.9459, 1941692.38, 0.7257 
