@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
2.22, 2.2, 2.24, 2.2, 3619198.62, 2.19, 2.15, 2.21, 2.14, 5604236.93, 2.13, 2.12, 2.15, 2.12, 3321089.12, 2.11, 2.14, 2.19, 2.06, 6128779.98, 2.17, 2.15, 2.17, 2.13, 4004120.2, 2.12 
2.19, 2.15, 2.21, 2.14, 5604236.93, 2.13, 2.12, 2.15, 2.12, 3321089.12, 2.11, 2.14, 2.19, 2.06, 6128779.98, 2.17, 2.15, 2.17, 2.13, 4004120.2, 2.17, 2.21, 2.25, 2.13, 5480060.09, 1.87 
2.13, 2.12, 2.15, 2.12, 3321089.12, 2.11, 2.14, 2.19, 2.06, 6128779.98, 2.17, 2.15, 2.17, 2.13, 4004120.2, 2.17, 2.21, 2.25, 2.13, 5480060.09, 2.2, 2.14, 2.22, 2.07, 5446957, 1.88 
2.11, 2.14, 2.19, 2.06, 6128779.98, 2.17, 2.15, 2.17, 2.13, 4004120.2, 2.17, 2.21, 2.25, 2.13, 5480060.09, 2.2, 2.14, 2.22, 2.07, 5446957, 2.14, 2.13, 2.14, 2.1, 3736369.49, 1.9 
2.17, 2.15, 2.17, 2.13, 4004120.2, 2.17, 2.21, 2.25, 2.13, 5480060.09, 2.2, 2.14, 2.22, 2.07, 5446957, 2.14, 2.13, 2.14, 2.1, 3736369.49, 2.15, 2.16, 2.29, 2.09, 5444623.25, 1.89 
2.17, 2.21, 2.25, 2.13, 5480060.09, 2.2, 2.14, 2.22, 2.07, 5446957, 2.14, 2.13, 2.14, 2.1, 3736369.49, 2.15, 2.16, 2.29, 2.09, 5444623.25, 2.16, 2.13, 2.25, 2.13, 4277678.45, 2.01 
2.2, 2.14, 2.22, 2.07, 5446957, 2.14, 2.13, 2.14, 2.1, 3736369.49, 2.15, 2.16, 2.29, 2.09, 5444623.25, 2.16, 2.13, 2.25, 2.13, 4277678.45, 2.12, 2.12, 2.17, 2.09, 7018728.88, 2.01 
2.14, 2.13, 2.14, 2.1, 3736369.49, 2.15, 2.16, 2.29, 2.09, 5444623.25, 2.16, 2.13, 2.25, 2.13, 4277678.45, 2.12, 2.12, 2.17, 2.09, 7018728.88, 2, 1.87, 2.02, 1.67, 8093694.62, 2.04 
2.15, 2.16, 2.29, 2.09, 5444623.25, 2.16, 2.13, 2.25, 2.13, 4277678.45, 2.12, 2.12, 2.17, 2.09, 7018728.88, 2, 1.87, 2.02, 1.67, 8093694.62, 1.88, 1.88, 1.94, 1.77, 4606486.71, 1.98 
2.16, 2.13, 2.25, 2.13, 4277678.45, 2.12, 2.12, 2.17, 2.09, 7018728.88, 2, 1.87, 2.02, 1.67, 8093694.62, 1.88, 1.88, 1.94, 1.77, 4606486.71, 1.88, 1.9, 1.92, 1.88, 2802039.73, 1.95 
2.12, 2.12, 2.17, 2.09, 7018728.88, 2, 1.87, 2.02, 1.67, 8093694.62, 1.88, 1.88, 1.94, 1.77, 4606486.71, 1.88, 1.9, 1.92, 1.88, 2802039.73, 1.91, 1.89, 1.95, 1.87, 3448861.7, 1.96 
2, 1.87, 2.02, 1.67, 8093694.62, 1.88, 1.88, 1.94, 1.77, 4606486.71, 1.88, 1.9, 1.92, 1.88, 2802039.73, 1.91, 1.89, 1.95, 1.87, 3448861.7, 1.99, 2.01, 2.01, 1.96, 6314845.82, 1.98 
1.88, 1.88, 1.94, 1.77, 4606486.71, 1.88, 1.9, 1.92, 1.88, 2802039.73, 1.91, 1.89, 1.95, 1.87, 3448861.7, 1.99, 2.01, 2.01, 1.96, 6314845.82, 2, 2.01, 2.07, 1.99, 5362607.48, 1.95 
1.88, 1.9, 1.92, 1.88, 2802039.73, 1.91, 1.89, 1.95, 1.87, 3448861.7, 1.99, 2.01, 2.01, 1.96, 6314845.82, 2, 2.01, 2.07, 1.99, 5362607.48, 2.01, 2.04, 2.06, 2.01, 6592793.28, 1.97 
1.91, 1.89, 1.95, 1.87, 3448861.7, 1.99, 2.01, 2.01, 1.96, 6314845.82, 2, 2.01, 2.07, 1.99, 5362607.48, 2.01, 2.04, 2.06, 2.01, 6592793.28, 2.01, 1.98, 2.03, 1.97, 5409090.92, 1.96 
1.99, 2.01, 2.01, 1.96, 6314845.82, 2, 2.01, 2.07, 1.99, 5362607.48, 2.01, 2.04, 2.06, 2.01, 6592793.28, 2.01, 1.98, 2.03, 1.97, 5409090.92, 1.98, 1.95, 2.02, 1.39, 4442694.59, 1.95 
2, 2.01, 2.07, 1.99, 5362607.48, 2.01, 2.04, 2.06, 2.01, 6592793.28, 2.01, 1.98, 2.03, 1.97, 5409090.92, 1.98, 1.95, 2.02, 1.39, 4442694.59, 1.96, 1.96, 2, 1.9, 5201461.23, 1.91 
2.01, 2.04, 2.06, 2.01, 6592793.28, 2.01, 1.98, 2.03, 1.97, 5409090.92, 1.98, 1.95, 2.02, 1.39, 4442694.59, 1.96, 1.96, 2, 1.9, 5201461.23, 1.97, 1.98, 2.01, 1.97, 7141951.83, 1.91 
2.01, 1.98, 2.03, 1.97, 5409090.92, 1.98, 1.95, 2.02, 1.39, 4442694.59, 1.96, 1.96, 2, 1.9, 5201461.23, 1.97, 1.98, 2.01, 1.97, 7141951.83, 1.98, 1.95, 1.98, 1.94, 4813307.44, 1.89 
1.98, 1.95, 2.02, 1.39, 4442694.59, 1.96, 1.96, 2, 1.9, 5201461.23, 1.97, 1.98, 2.01, 1.97, 7141951.83, 1.98, 1.95, 1.98, 1.94, 4813307.44, 1.95, 1.97, 2.09, 1.9, 7018213.98, 1.78 
1.96, 1.96, 2, 1.9, 5201461.23, 1.97, 1.98, 2.01, 1.97, 7141951.83, 1.98, 1.95, 1.98, 1.94, 4813307.44, 1.95, 1.97, 2.09, 1.9, 7018213.98, 1.97, 1.96, 2.03, 1.94, 6699910.63, 1.77 
1.97, 1.98, 2.01, 1.97, 7141951.83, 1.98, 1.95, 1.98, 1.94, 4813307.44, 1.95, 1.97, 2.09, 1.9, 7018213.98, 1.97, 1.96, 2.03, 1.94, 6699910.63, 1.96, 1.95, 1.96, 1.93, 5191622.47, 1.83 
1.98, 1.95, 1.98, 1.94, 4813307.44, 1.95, 1.97, 2.09, 1.9, 7018213.98, 1.97, 1.96, 2.03, 1.94, 6699910.63, 1.96, 1.95, 1.96, 1.93, 5191622.47, 1.95, 1.91, 1.96, 1.88, 5604934.86, 1.86 
1.95, 1.97, 2.09, 1.9, 7018213.98, 1.97, 1.96, 2.03, 1.94, 6699910.63, 1.96, 1.95, 1.96, 1.93, 5191622.47, 1.95, 1.91, 1.96, 1.88, 5604934.86, 1.91, 1.91, 1.95, 1.89, 4392637.69, 1.85 
1.97, 1.96, 2.03, 1.94, 6699910.63, 1.96, 1.95, 1.96, 1.93, 5191622.47, 1.95, 1.91, 1.96, 1.88, 5604934.86, 1.91, 1.91, 1.95, 1.89, 4392637.69, 1.91, 1.89, 1.93, 1.88, 4148090.69, 1.86 
1.96, 1.95, 1.96, 1.93, 5191622.47, 1.95, 1.91, 1.96, 1.88, 5604934.86, 1.91, 1.91, 1.95, 1.89, 4392637.69, 1.91, 1.89, 1.93, 1.88, 4148090.69, 1.85, 1.78, 1.86, 1.75, 5280549.3, 1.83 
1.95, 1.91, 1.96, 1.88, 5604934.86, 1.91, 1.91, 1.95, 1.89, 4392637.69, 1.91, 1.89, 1.93, 1.88, 4148090.69, 1.85, 1.78, 1.86, 1.75, 5280549.3, 1.78, 1.77, 1.8, 1.76, 4534680.78, 1.81 
1.91, 1.91, 1.95, 1.89, 4392637.69, 1.91, 1.89, 1.93, 1.88, 4148090.69, 1.85, 1.78, 1.86, 1.75, 5280549.3, 1.78, 1.77, 1.8, 1.76, 4534680.78, 1.78, 1.83, 1.83, 1.76, 6189075.39, 1.84 
1.91, 1.89, 1.93, 1.88, 4148090.69, 1.85, 1.78, 1.86, 1.75, 5280549.3, 1.78, 1.77, 1.8, 1.76, 4534680.78, 1.78, 1.83, 1.83, 1.76, 6189075.39, 1.84, 1.86, 2.01, 1.81, 5788084.84, 1.83 
1.85, 1.78, 1.86, 1.75, 5280549.3, 1.78, 1.77, 1.8, 1.76, 4534680.78, 1.78, 1.83, 1.83, 1.76, 6189075.39, 1.84, 1.86, 2.01, 1.81, 5788084.84, 1.86, 1.85, 1.9, 1.85, 4295279.11, 1.83 
1.78, 1.77, 1.8, 1.76, 4534680.78, 1.78, 1.83, 1.83, 1.76, 6189075.39, 1.84, 1.86, 2.01, 1.81, 5788084.84, 1.86, 1.85, 1.9, 1.85, 4295279.11, 1.85, 1.86, 1.87, 1.84, 3639120.58, 1.76 
1.78, 1.83, 1.83, 1.76, 6189075.39, 1.84, 1.86, 2.01, 1.81, 5788084.84, 1.86, 1.85, 1.9, 1.85, 4295279.11, 1.85, 1.86, 1.87, 1.84, 3639120.58, 1.88, 1.83, 1.9, 1.82, 3133092.78, 1.76 
1.84, 1.86, 2.01, 1.81, 5788084.84, 1.86, 1.85, 1.9, 1.85, 4295279.11, 1.85, 1.86, 1.87, 1.84, 3639120.58, 1.88, 1.83, 1.9, 1.82, 3133092.78, 1.82, 1.81, 2.38, 1.8, 4335550.76, 1.73 
1.86, 1.85, 1.9, 1.85, 4295279.11, 1.85, 1.86, 1.87, 1.84, 3639120.58, 1.88, 1.83, 1.9, 1.82, 3133092.78, 1.82, 1.81, 2.38, 1.8, 4335550.76, 1.82, 1.84, 2.55, 1.81, 4105660.96, 1.73 
1.85, 1.86, 1.87, 1.84, 3639120.58, 1.88, 1.83, 1.9, 1.82, 3133092.78, 1.82, 1.81, 2.38, 1.8, 4335550.76, 1.82, 1.84, 2.55, 1.81, 4105660.96, 1.86, 1.83, 2.64, 1.83, 4122396.33, 1.71 
1.88, 1.83, 1.9, 1.82, 3133092.78, 1.82, 1.81, 2.38, 1.8, 4335550.76, 1.82, 1.84, 2.55, 1.81, 4105660.96, 1.86, 1.83, 2.64, 1.83, 4122396.33, 1.81, 1.83, 1.84, 1.81, 3755542.16, 1.51 
1.82, 1.81, 2.38, 1.8, 4335550.76, 1.82, 1.84, 2.55, 1.81, 4105660.96, 1.86, 1.83, 2.64, 1.83, 4122396.33, 1.81, 1.83, 1.84, 1.81, 3755542.16, 1.81, 1.76, 1.81, 1.74, 3003871.48, 1.52 
1.82, 1.84, 2.55, 1.81, 4105660.96, 1.86, 1.83, 2.64, 1.83, 4122396.33, 1.81, 1.83, 1.84, 1.81, 3755542.16, 1.81, 1.76, 1.81, 1.74, 3003871.48, 1.76, 1.76, 1.77, 1.74, 2778213.12, 1.5 
1.86, 1.83, 2.64, 1.83, 4122396.33, 1.81, 1.83, 1.84, 1.81, 3755542.16, 1.81, 1.76, 1.81, 1.74, 3003871.48, 1.76, 1.76, 1.77, 1.74, 2778213.12, 1.76, 1.73, 1.82, 1.73, 3321540.83, 1.5 
1.81, 1.83, 1.84, 1.81, 3755542.16, 1.81, 1.76, 1.81, 1.74, 3003871.48, 1.76, 1.76, 1.77, 1.74, 2778213.12, 1.76, 1.73, 1.82, 1.73, 3321540.83, 1.72, 1.73, 1.73, 1.72, 4413479.64, 1.52 
1.81, 1.76, 1.81, 1.74, 3003871.48, 1.76, 1.76, 1.77, 1.74, 2778213.12, 1.76, 1.73, 1.82, 1.73, 3321540.83, 1.72, 1.73, 1.73, 1.72, 4413479.64, 1.72, 1.71, 1.74, 1.71, 3648578.71, 1.27 
1.76, 1.76, 1.77, 1.74, 2778213.12, 1.76, 1.73, 1.82, 1.73, 3321540.83, 1.72, 1.73, 1.73, 1.72, 4413479.64, 1.72, 1.71, 1.74, 1.71, 3648578.71, 1.55, 1.51, 1.58, 1.44, 4719961.9, 1.07 
1.76, 1.73, 1.82, 1.73, 3321540.83, 1.72, 1.73, 1.73, 1.72, 4413479.64, 1.72, 1.71, 1.74, 1.71, 3648578.71, 1.55, 1.51, 1.58, 1.44, 4719961.9, 1.48, 1.52, 1.54, 1.47, 4137136.67, 1.15 
1.72, 1.73, 1.73, 1.72, 4413479.64, 1.72, 1.71, 1.74, 1.71, 3648578.71, 1.55, 1.51, 1.58, 1.44, 4719961.9, 1.48, 1.52, 1.54, 1.47, 4137136.67, 1.5, 1.5, 1.51, 1.44, 4061850.71, 1.1 
1.72, 1.71, 1.74, 1.71, 3648578.71, 1.55, 1.51, 1.58, 1.44, 4719961.9, 1.48, 1.52, 1.54, 1.47, 4137136.67, 1.5, 1.5, 1.51, 1.44, 4061850.71, 1.49, 1.5, 1.5, 1.49, 4981749.84, 1.11 
1.55, 1.51, 1.58, 1.44, 4719961.9, 1.48, 1.52, 1.54, 1.47, 4137136.67, 1.5, 1.5, 1.51, 1.44, 4061850.71, 1.49, 1.5, 1.5, 1.49, 4981749.84, 1.51, 1.52, 1.53, 1.5, 2741311.05, 0.9859 
1.48, 1.52, 1.54, 1.47, 4137136.67, 1.5, 1.5, 1.51, 1.44, 4061850.71, 1.49, 1.5, 1.5, 1.49, 4981749.84, 1.51, 1.52, 1.53, 1.5, 2741311.05, 1.3, 1.27, 1.48, 1.22, 7723673.61, 1.04 
1.5, 1.5, 1.51, 1.44, 4061850.71, 1.49, 1.5, 1.5, 1.49, 4981749.84, 1.51, 1.52, 1.53, 1.5, 2741311.05, 1.3, 1.27, 1.48, 1.22, 7723673.61, 1.18, 1.07, 1.19, 1.07, 5074833, 0.9874 
1.49, 1.5, 1.5, 1.49, 4981749.84, 1.51, 1.52, 1.53, 1.5, 2741311.05, 1.3, 1.27, 1.48, 1.22, 7723673.61, 1.18, 1.07, 1.19, 1.07, 5074833, 1.11, 1.15, 1.17, 1.08, 2970754.49, 0.9989 
1.51, 1.52, 1.53, 1.5, 2741311.05, 1.3, 1.27, 1.48, 1.22, 7723673.61, 1.18, 1.07, 1.19, 1.07, 5074833, 1.11, 1.15, 1.17, 1.08, 2970754.49, 1.08, 1.1, 1.11, 1.08, 3347374.12, 1.15 
1.3, 1.27, 1.48, 1.22, 7723673.61, 1.18, 1.07, 1.19, 1.07, 5074833, 1.11, 1.15, 1.17, 1.08, 2970754.49, 1.08, 1.1, 1.11, 1.08, 3347374.12, 1.1, 1.11, 1.12, 1.1, 3274145.07, 1.2 
1.18, 1.07, 1.19, 1.07, 5074833, 1.11, 1.15, 1.17, 1.08, 2970754.49, 1.08, 1.1, 1.11, 1.08, 3347374.12, 1.1, 1.11, 1.12, 1.1, 3274145.07, 0.984, 0.9859, 0.9901, 0.9728, 2202608.29, 1.21 
1.11, 1.15, 1.17, 1.08, 2970754.49, 1.08, 1.1, 1.11, 1.08, 3347374.12, 1.1, 1.11, 1.12, 1.1, 3274145.07, 0.984, 0.9859, 0.9901, 0.9728, 2202608.29, 1.02, 1.04, 1.06, 1.02, 3033460.34, 1.41 
1.08, 1.1, 1.11, 1.08, 3347374.12, 1.1, 1.11, 1.12, 1.1, 3274145.07, 0.984, 0.9859, 0.9901, 0.9728, 2202608.29, 1.02, 1.04, 1.06, 1.02, 3033460.34, 0.9863, 0.9874, 1, 0.9685, 3108903.66, 1.58 
1.1, 1.11, 1.12, 1.1, 3274145.07, 0.984, 0.9859, 0.9901, 0.9728, 2202608.29, 1.02, 1.04, 1.06, 1.02, 3033460.34, 0.9863, 0.9874, 1, 0.9685, 3108903.66, 0.9974, 0.9989, 1, 0.9905, 2301528.8, 1.47 
0.984, 0.9859, 0.9901, 0.9728, 2202608.29, 1.02, 1.04, 1.06, 1.02, 3033460.34, 0.9863, 0.9874, 1, 0.9685, 3108903.66, 0.9974, 0.9989, 1, 0.9905, 2301528.8, 1.11, 1.15, 1.19, 1.11, 4388845.03, 2.16 
1.02, 1.04, 1.06, 1.02, 3033460.34, 0.9863, 0.9874, 1, 0.9685, 3108903.66, 0.9974, 0.9989, 1, 0.9905, 2301528.8, 1.11, 1.15, 1.19, 1.11, 4388845.03, 1.16, 1.2, 1.21, 1.14, 4042210.92, 1.83 
0.9863, 0.9874, 1, 0.9685, 3108903.66, 0.9974, 0.9989, 1, 0.9905, 2301528.8, 1.11, 1.15, 1.19, 1.11, 4388845.03, 1.16, 1.2, 1.21, 1.14, 4042210.92, 1.12, 1.21, 1.21, 1.1, 5567755.27, 1.48 
0.9974, 0.9989, 1, 0.9905, 2301528.8, 1.11, 1.15, 1.19, 1.11, 4388845.03, 1.16, 1.2, 1.21, 1.14, 4042210.92, 1.12, 1.21, 1.21, 1.1, 5567755.27, 1.27, 1.41, 1.41, 1.27, 8654580.99, 1.5 
1.11, 1.15, 1.19, 1.11, 4388845.03, 1.16, 1.2, 1.21, 1.14, 4042210.92, 1.12, 1.21, 1.21, 1.1, 5567755.27, 1.27, 1.41, 1.41, 1.27, 8654580.99, 1.39, 1.58, 1.59, 1.37, 11914939.41, 1.57 
1.16, 1.2, 1.21, 1.14, 4042210.92, 1.12, 1.21, 1.21, 1.1, 5567755.27, 1.27, 1.41, 1.41, 1.27, 8654580.99, 1.39, 1.58, 1.59, 1.37, 11914939.41, 1.47, 1.47, 1.53, 1.34, 9902969.34, 1.69 
1.12, 1.21, 1.21, 1.1, 5567755.27, 1.27, 1.41, 1.41, 1.27, 8654580.99, 1.39, 1.58, 1.59, 1.37, 11914939.41, 1.47, 1.47, 1.53, 1.34, 9902969.34, 1.5, 2.16, 2.35, 1.5, 52417564.15, 1.55 
1.27, 1.41, 1.41, 1.27, 8654580.99, 1.39, 1.58, 1.59, 1.37, 11914939.41, 1.47, 1.47, 1.53, 1.34, 9902969.34, 1.5, 2.16, 2.35, 1.5, 52417564.15, 2.05, 1.83, 2.16, 1.81, 22978160.25, 1.65 
1.39, 1.58, 1.59, 1.37, 11914939.41, 1.47, 1.47, 1.53, 1.34, 9902969.34, 1.5, 2.16, 2.35, 1.5, 52417564.15, 2.05, 1.83, 2.16, 1.81, 22978160.25, 1.7, 1.48, 1.72, 1.46, 8016595.48, 1.99 
