@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.1149, 0.1129, 0.117, 0.1077, 19507.69, 0.1077, 0.1088, 0.1114, 0.102, 6558.88, 0.1056, 0.1086, 0.1289, 0.09254, 10821.72, 0.109, 0.1084, 0.1152, 0.09801, 3071.15, 0.1098, 0.1084, 0.1114, 0.1037, 9663.4, 0.134 
0.1077, 0.1088, 0.1114, 0.102, 6558.88, 0.1056, 0.1086, 0.1289, 0.09254, 10821.72, 0.109, 0.1084, 0.1152, 0.09801, 3071.15, 0.1098, 0.1084, 0.1114, 0.1037, 9663.4, 0.1211, 0.1158, 0.1241, 0.1143, 3629.96, 0.1334 
0.1056, 0.1086, 0.1289, 0.09254, 10821.72, 0.109, 0.1084, 0.1152, 0.09801, 3071.15, 0.1098, 0.1084, 0.1114, 0.1037, 9663.4, 0.1211, 0.1158, 0.1241, 0.1143, 3629.96, 0.1243, 0.1205, 0.1324, 0.1191, 3411.06, 0.1325 
0.109, 0.1084, 0.1152, 0.09801, 3071.15, 0.1098, 0.1084, 0.1114, 0.1037, 9663.4, 0.1211, 0.1158, 0.1241, 0.1143, 3629.96, 0.1243, 0.1205, 0.1324, 0.1191, 3411.06, 0.1183, 0.1202, 0.1268, 0.1149, 4432.41, 0.1163 
0.1098, 0.1084, 0.1114, 0.1037, 9663.4, 0.1211, 0.1158, 0.1241, 0.1143, 3629.96, 0.1243, 0.1205, 0.1324, 0.1191, 3411.06, 0.1183, 0.1202, 0.1268, 0.1149, 4432.41, 0.139, 0.1282, 0.1416, 0.126, 7907.68, 0.1151 
0.1211, 0.1158, 0.1241, 0.1143, 3629.96, 0.1243, 0.1205, 0.1324, 0.1191, 3411.06, 0.1183, 0.1202, 0.1268, 0.1149, 4432.41, 0.139, 0.1282, 0.1416, 0.126, 7907.68, 0.1205, 0.1292, 0.1398, 0.1164, 24634.81, 0.1075 
0.1243, 0.1205, 0.1324, 0.1191, 3411.06, 0.1183, 0.1202, 0.1268, 0.1149, 4432.41, 0.139, 0.1282, 0.1416, 0.126, 7907.68, 0.1205, 0.1292, 0.1398, 0.1164, 24634.81, 0.1398, 0.134, 0.1425, 0.1307, 8916.67, 0.1205 
0.1183, 0.1202, 0.1268, 0.1149, 4432.41, 0.139, 0.1282, 0.1416, 0.126, 7907.68, 0.1205, 0.1292, 0.1398, 0.1164, 24634.81, 0.1398, 0.134, 0.1425, 0.1307, 8916.67, 0.1489, 0.1334, 0.1495, 0.1292, 23700.87, 0.1146 
0.139, 0.1282, 0.1416, 0.126, 7907.68, 0.1205, 0.1292, 0.1398, 0.1164, 24634.81, 0.1398, 0.134, 0.1425, 0.1307, 8916.67, 0.1489, 0.1334, 0.1495, 0.1292, 23700.87, 0.1428, 0.1325, 0.1788, 0.1178, 41877.45, 0.1153 
0.1205, 0.1292, 0.1398, 0.1164, 24634.81, 0.1398, 0.134, 0.1425, 0.1307, 8916.67, 0.1489, 0.1334, 0.1495, 0.1292, 23700.87, 0.1428, 0.1325, 0.1788, 0.1178, 41877.45, 0.1232, 0.1163, 0.1772, 0.1093, 15971.66, 0.1599 
0.1398, 0.134, 0.1425, 0.1307, 8916.67, 0.1489, 0.1334, 0.1495, 0.1292, 23700.87, 0.1428, 0.1325, 0.1788, 0.1178, 41877.45, 0.1232, 0.1163, 0.1772, 0.1093, 15971.66, 0.1178, 0.1151, 0.1209, 0.1109, 24561.76, 0.1126 
