@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.9383, 0.9383, 0.947, 0.9198, 484517.19, 0.8897, 0.8944, 0.9168, 0.8815, 513384.75, 0.8755, 0.9014, 0.9823, 0.8697, 1388420.83, 0.9006, 0.9129, 0.9565, 0.8899, 752288.18, 0.9193, 0.8946, 0.9288, 0.8884, 442902.34, 1.19 
0.8897, 0.8944, 0.9168, 0.8815, 513384.75, 0.8755, 0.9014, 0.9823, 0.8697, 1388420.83, 0.9006, 0.9129, 0.9565, 0.8899, 752288.18, 0.9193, 0.8946, 0.9288, 0.8884, 442902.34, 0.975, 0.9988, 1.011, 0.9559, 670081.36, 1.218 
0.8755, 0.9014, 0.9823, 0.8697, 1388420.83, 0.9006, 0.9129, 0.9565, 0.8899, 752288.18, 0.9193, 0.8946, 0.9288, 0.8884, 442902.34, 0.975, 0.9988, 1.011, 0.9559, 670081.36, 1.046, 1.056, 1.109, 1.034, 720581.14, 1.351 
0.9006, 0.9129, 0.9565, 0.8899, 752288.18, 0.9193, 0.8946, 0.9288, 0.8884, 442902.34, 0.975, 0.9988, 1.011, 0.9559, 670081.36, 1.046, 1.056, 1.109, 1.034, 720581.14, 1.062, 1.079, 1.187, 1.052, 1825931.58, 1.203 
0.9193, 0.8946, 0.9288, 0.8884, 442902.34, 0.975, 0.9988, 1.011, 0.9559, 670081.36, 1.046, 1.056, 1.109, 1.034, 720581.14, 1.062, 1.079, 1.187, 1.052, 1825931.58, 1.195, 1.208, 1.296, 1.157, 1875516.21, 1.171 
0.975, 0.9988, 1.011, 0.9559, 670081.36, 1.046, 1.056, 1.109, 1.034, 720581.14, 1.062, 1.079, 1.187, 1.052, 1825931.58, 1.195, 1.208, 1.296, 1.157, 1875516.21, 1.138, 1.119, 1.16, 1.077, 1120423.5, 1.066 
1.046, 1.056, 1.109, 1.034, 720581.14, 1.062, 1.079, 1.187, 1.052, 1825931.58, 1.195, 1.208, 1.296, 1.157, 1875516.21, 1.138, 1.119, 1.16, 1.077, 1120423.5, 1.161, 1.19, 1.212, 1.153, 767681.29, 1.156 
1.062, 1.079, 1.187, 1.052, 1825931.58, 1.195, 1.208, 1.296, 1.157, 1875516.21, 1.138, 1.119, 1.16, 1.077, 1120423.5, 1.161, 1.19, 1.212, 1.153, 767681.29, 1.179, 1.218, 1.241, 1.168, 1116338.27, 1.083 
1.195, 1.208, 1.296, 1.157, 1875516.21, 1.138, 1.119, 1.16, 1.077, 1120423.5, 1.161, 1.19, 1.212, 1.153, 767681.29, 1.179, 1.218, 1.241, 1.168, 1116338.27, 1.24, 1.351, 1.396, 1.226, 2973304.36, 1.235 
1.138, 1.119, 1.16, 1.077, 1120423.5, 1.161, 1.19, 1.212, 1.153, 767681.29, 1.179, 1.218, 1.241, 1.168, 1116338.27, 1.24, 1.351, 1.396, 1.226, 2973304.36, 1.269, 1.203, 1.338, 1.172, 2413462.75, 1.101 
1.161, 1.19, 1.212, 1.153, 767681.29, 1.179, 1.218, 1.241, 1.168, 1116338.27, 1.24, 1.351, 1.396, 1.226, 2973304.36, 1.269, 1.203, 1.338, 1.172, 2413462.75, 1.207, 1.171, 1.22, 1.165, 759038.98, 1.131 
1.179, 1.218, 1.241, 1.168, 1116338.27, 1.24, 1.351, 1.396, 1.226, 2973304.36, 1.269, 1.203, 1.338, 1.172, 2413462.75, 1.207, 1.171, 1.22, 1.165, 759038.98, 1.109, 1.066, 1.119, 1.019, 955550.45, 1.16 
1.24, 1.351, 1.396, 1.226, 2973304.36, 1.269, 1.203, 1.338, 1.172, 2413462.75, 1.207, 1.171, 1.22, 1.165, 759038.98, 1.109, 1.066, 1.119, 1.019, 955550.45, 1.154, 1.156, 1.168, 1.089, 810637.43, 1.15 
1.269, 1.203, 1.338, 1.172, 2413462.75, 1.207, 1.171, 1.22, 1.165, 759038.98, 1.109, 1.066, 1.119, 1.019, 955550.45, 1.154, 1.156, 1.168, 1.089, 810637.43, 1.111, 1.083, 1.119, 1.069, 710449.62, 1.152 
