@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.1073, 0.1095, 0.1103, 0.1059, 3261722.36, 0.1092, 0.1075, 0.1098, 0.1056, 2089917.18, 0.1067, 0.1036, 0.1071, 0.1014, 3590168.68, 0.09774, 0.09004, 0.0983, 0.09004, 4911692.22, 0.09057, 0.0917, 0.09358, 0.08832, 3461484.31, 0.09467 
0.1092, 0.1075, 0.1098, 0.1056, 2089917.18, 0.1067, 0.1036, 0.1071, 0.1014, 3590168.68, 0.09774, 0.09004, 0.0983, 0.09004, 4911692.22, 0.09057, 0.0917, 0.09358, 0.08832, 3461484.31, 0.09194, 0.09338, 0.09357, 0.09131, 2202094.53, 0.09465 
0.1067, 0.1036, 0.1071, 0.1014, 3590168.68, 0.09774, 0.09004, 0.0983, 0.09004, 4911692.22, 0.09057, 0.0917, 0.09358, 0.08832, 3461484.31, 0.09194, 0.09338, 0.09357, 0.09131, 2202094.53, 0.09354, 0.09235, 0.09435, 0.09197, 2770466.92, 0.09619 
0.09774, 0.09004, 0.0983, 0.09004, 4911692.22, 0.09057, 0.0917, 0.09358, 0.08832, 3461484.31, 0.09194, 0.09338, 0.09357, 0.09131, 2202094.53, 0.09354, 0.09235, 0.09435, 0.09197, 2770466.92, 0.09727, 0.09753, 0.09852, 0.09323, 4065103.16, 0.09973 
0.09057, 0.0917, 0.09358, 0.08832, 3461484.31, 0.09194, 0.09338, 0.09357, 0.09131, 2202094.53, 0.09354, 0.09235, 0.09435, 0.09197, 2770466.92, 0.09727, 0.09753, 0.09852, 0.09323, 4065103.16, 0.09717, 0.09644, 0.09756, 0.09545, 2605384.6, 0.09919 
0.09194, 0.09338, 0.09357, 0.09131, 2202094.53, 0.09354, 0.09235, 0.09435, 0.09197, 2770466.92, 0.09727, 0.09753, 0.09852, 0.09323, 4065103.16, 0.09717, 0.09644, 0.09756, 0.09545, 2605384.6, 0.09632, 0.09651, 0.09691, 0.095, 2938408.7, 0.09932 
0.09354, 0.09235, 0.09435, 0.09197, 2770466.92, 0.09727, 0.09753, 0.09852, 0.09323, 4065103.16, 0.09717, 0.09644, 0.09756, 0.09545, 2605384.6, 0.09632, 0.09651, 0.09691, 0.095, 2938408.7, 0.09525, 0.09467, 0.09584, 0.0937, 2038619.7, 0.0987 
0.09727, 0.09753, 0.09852, 0.09323, 4065103.16, 0.09717, 0.09644, 0.09756, 0.09545, 2605384.6, 0.09632, 0.09651, 0.09691, 0.095, 2938408.7, 0.09525, 0.09467, 0.09584, 0.0937, 2038619.7, 0.09439, 0.09465, 0.09477, 0.09296, 1264325.96, 0.09681 
0.09717, 0.09644, 0.09756, 0.09545, 2605384.6, 0.09632, 0.09651, 0.09691, 0.095, 2938408.7, 0.09525, 0.09467, 0.09584, 0.0937, 2038619.7, 0.09439, 0.09465, 0.09477, 0.09296, 1264325.96, 0.09496, 0.09619, 0.09671, 0.09457, 2612133.95, 0.09563 
0.09632, 0.09651, 0.09691, 0.095, 2938408.7, 0.09525, 0.09467, 0.09584, 0.0937, 2038619.7, 0.09439, 0.09465, 0.09477, 0.09296, 1264325.96, 0.09496, 0.09619, 0.09671, 0.09457, 2612133.95, 0.09667, 0.09973, 0.1024, 0.09596, 4974123.76, 0.09226 
