@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.1104, 0.1126, 0.1157, 0.1097, 798211.49, 0.1126, 0.1042, 0.1136, 0.1023, 774620.91, 0.1042, 0.09606, 0.105, 0.09338, 1342755.98, 0.09606, 0.09442, 0.09934, 0.09141, 587499.56, 0.09442, 0.0957, 0.1004, 0.09413, 344266.61, 0.1212 
0.1126, 0.1042, 0.1136, 0.1023, 774620.91, 0.1042, 0.09606, 0.105, 0.09338, 1342755.98, 0.09606, 0.09442, 0.09934, 0.09141, 587499.56, 0.09442, 0.0957, 0.1004, 0.09413, 344266.61, 0.0957, 0.1093, 0.1131, 0.09465, 1337647.51, 0.1263 
0.1042, 0.09606, 0.105, 0.09338, 1342755.98, 0.09606, 0.09442, 0.09934, 0.09141, 587499.56, 0.09442, 0.0957, 0.1004, 0.09413, 344266.61, 0.0957, 0.1093, 0.1131, 0.09465, 1337647.51, 0.1093, 0.1146, 0.1148, 0.105, 1262766.75, 0.1316 
0.09606, 0.09442, 0.09934, 0.09141, 587499.56, 0.09442, 0.0957, 0.1004, 0.09413, 344266.61, 0.0957, 0.1093, 0.1131, 0.09465, 1337647.51, 0.1093, 0.1146, 0.1148, 0.105, 1262766.75, 0.1146, 0.1129, 0.1275, 0.1124, 3264049.74, 0.1201 
0.09442, 0.0957, 0.1004, 0.09413, 344266.61, 0.0957, 0.1093, 0.1131, 0.09465, 1337647.51, 0.1093, 0.1146, 0.1148, 0.105, 1262766.75, 0.1146, 0.1129, 0.1275, 0.1124, 3264049.74, 0.1129, 0.1252, 0.1273, 0.112, 1919360.62, 0.1202 
0.0957, 0.1093, 0.1131, 0.09465, 1337647.51, 0.1093, 0.1146, 0.1148, 0.105, 1262766.75, 0.1146, 0.1129, 0.1275, 0.1124, 3264049.74, 0.1129, 0.1252, 0.1273, 0.112, 1919360.62, 0.1252, 0.1194, 0.1346, 0.1158, 1826538.52, 0.1092 
0.1093, 0.1146, 0.1148, 0.105, 1262766.75, 0.1146, 0.1129, 0.1275, 0.1124, 3264049.74, 0.1129, 0.1252, 0.1273, 0.112, 1919360.62, 0.1252, 0.1194, 0.1346, 0.1158, 1826538.52, 0.1194, 0.1212, 0.1228, 0.1156, 730550, 0.1219 
0.1146, 0.1129, 0.1275, 0.1124, 3264049.74, 0.1129, 0.1252, 0.1273, 0.112, 1919360.62, 0.1252, 0.1194, 0.1346, 0.1158, 1826538.52, 0.1194, 0.1212, 0.1228, 0.1156, 730550, 0.1212, 0.1263, 0.1296, 0.121, 1242381.52, 0.1166 
0.1129, 0.1252, 0.1273, 0.112, 1919360.62, 0.1252, 0.1194, 0.1346, 0.1158, 1826538.52, 0.1194, 0.1212, 0.1228, 0.1156, 730550, 0.1212, 0.1263, 0.1296, 0.121, 1242381.52, 0.1263, 0.1316, 0.1438, 0.1259, 2893462.3, 0.1168 
0.1252, 0.1194, 0.1346, 0.1158, 1826538.52, 0.1194, 0.1212, 0.1228, 0.1156, 730550, 0.1212, 0.1263, 0.1296, 0.121, 1242381.52, 0.1263, 0.1316, 0.1438, 0.1259, 2893462.3, 0.1316, 0.1201, 0.1325, 0.1166, 1064680.51, 0.1097 
0.1194, 0.1212, 0.1228, 0.1156, 730550, 0.1212, 0.1263, 0.1296, 0.121, 1242381.52, 0.1263, 0.1316, 0.1438, 0.1259, 2893462.3, 0.1316, 0.1201, 0.1325, 0.1166, 1064680.51, 0.1201, 0.1202, 0.1262, 0.1148, 837302.37, 0.1157 
0.1212, 0.1263, 0.1296, 0.121, 1242381.52, 0.1263, 0.1316, 0.1438, 0.1259, 2893462.3, 0.1316, 0.1201, 0.1325, 0.1166, 1064680.51, 0.1201, 0.1202, 0.1262, 0.1148, 837302.37, 0.1202, 0.1092, 0.1211, 0.1087, 564469.14, 0.1195 
0.1263, 0.1316, 0.1438, 0.1259, 2893462.3, 0.1316, 0.1201, 0.1325, 0.1166, 1064680.51, 0.1201, 0.1202, 0.1262, 0.1148, 837302.37, 0.1202, 0.1092, 0.1211, 0.1087, 564469.14, 0.1092, 0.1219, 0.1251, 0.1073, 669515.68, 0.1132 
0.1316, 0.1201, 0.1325, 0.1166, 1064680.51, 0.1201, 0.1202, 0.1262, 0.1148, 837302.37, 0.1202, 0.1092, 0.1211, 0.1087, 564469.14, 0.1092, 0.1219, 0.1251, 0.1073, 669515.68, 0.1219, 0.1166, 0.1242, 0.1163, 504258.6, 0.1152 
