@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
42.43, 44.46, 47.69, 42.16, 1182488.22, 44.46, 41.22, 44.46, 40.71, 1550389.08, 41.22, 38.98, 43.07, 38.54, 1869799.63, 38.98, 39.37, 39.9, 37.84, 1258932.37, 39.37, 39.64, 41.25, 39.19, 1431939.34, 52.56 
44.46, 41.22, 44.46, 40.71, 1550389.08, 41.22, 38.98, 43.07, 38.54, 1869799.63, 38.98, 39.37, 39.9, 37.84, 1258932.37, 39.37, 39.64, 41.25, 39.19, 1431939.34, 39.64, 44.18, 45.49, 39.11, 2203790.01, 53.72 
41.22, 38.98, 43.07, 38.54, 1869799.63, 38.98, 39.37, 39.9, 37.84, 1258932.37, 39.37, 39.64, 41.25, 39.19, 1431939.34, 39.64, 44.18, 45.49, 39.11, 2203790.01, 44.18, 47.44, 48.63, 42.99, 1926349.19, 56.59 
38.98, 39.37, 39.9, 37.84, 1258932.37, 39.37, 39.64, 41.25, 39.19, 1431939.34, 39.64, 44.18, 45.49, 39.11, 2203790.01, 44.18, 47.44, 48.63, 42.99, 1926349.19, 47.44, 46.44, 51.37, 46.03, 3116849.91, 51.79 
39.37, 39.64, 41.25, 39.19, 1431939.34, 39.64, 44.18, 45.49, 39.11, 2203790.01, 44.18, 47.44, 48.63, 42.99, 1926349.19, 47.44, 46.44, 51.37, 46.03, 3116849.91, 46.44, 55.88, 56.06, 46.06, 3993906.15, 50.46 
39.64, 44.18, 45.49, 39.11, 2203790.01, 44.18, 47.44, 48.63, 42.99, 1926349.19, 47.44, 46.44, 51.37, 46.03, 3116849.91, 46.44, 55.88, 56.06, 46.06, 3993906.15, 55.88, 52.65, 56.59, 51.23, 2951372.7, 44.55 
44.18, 47.44, 48.63, 42.99, 1926349.19, 47.44, 46.44, 51.37, 46.03, 3116849.91, 46.44, 55.88, 56.06, 46.06, 3993906.15, 55.88, 52.65, 56.59, 51.23, 2951372.7, 52.65, 52.56, 53.37, 50.37, 2126249.75, 50.62 
47.44, 46.44, 51.37, 46.03, 3116849.91, 46.44, 55.88, 56.06, 46.06, 3993906.15, 55.88, 52.65, 56.59, 51.23, 2951372.7, 52.65, 52.56, 53.37, 50.37, 2126249.75, 52.56, 53.72, 56.09, 52.31, 1983670.74, 47.99 
46.44, 55.88, 56.06, 46.06, 3993906.15, 55.88, 52.65, 56.59, 51.23, 2951372.7, 52.65, 52.56, 53.37, 50.37, 2126249.75, 52.56, 53.72, 56.09, 52.31, 1983670.74, 53.72, 56.59, 59.42, 53.66, 3165341.94, 49.16 
55.88, 52.65, 56.59, 51.23, 2951372.7, 52.65, 52.56, 53.37, 50.37, 2126249.75, 52.56, 53.72, 56.09, 52.31, 1983670.74, 53.72, 56.59, 59.42, 53.66, 3165341.94, 56.59, 51.79, 56.89, 48.77, 2604794.89, 46.56 
52.65, 52.56, 53.37, 50.37, 2126249.75, 52.56, 53.72, 56.09, 52.31, 1983670.74, 53.72, 56.59, 59.42, 53.66, 3165341.94, 56.59, 51.79, 56.89, 48.77, 2604794.89, 51.79, 50.46, 53.29, 47.52, 2243358.67, 49.17 
52.56, 53.72, 56.09, 52.31, 1983670.74, 53.72, 56.59, 59.42, 53.66, 3165341.94, 56.59, 51.79, 56.89, 48.77, 2604794.89, 51.79, 50.46, 53.29, 47.52, 2243358.67, 50.46, 44.55, 50.46, 43.73, 1598574.94, 53.46 
53.72, 56.59, 59.42, 53.66, 3165341.94, 56.59, 51.79, 56.89, 48.77, 2604794.89, 51.79, 50.46, 53.29, 47.52, 2243358.67, 50.46, 44.55, 50.46, 43.73, 1598574.94, 44.55, 50.62, 52.51, 44.17, 2145203.22, 50.46 
56.59, 51.79, 56.89, 48.77, 2604794.89, 51.79, 50.46, 53.29, 47.52, 2243358.67, 50.46, 44.55, 50.46, 43.73, 1598574.94, 44.55, 50.62, 52.51, 44.17, 2145203.22, 50.62, 47.99, 51.4, 47.99, 1614954.18, 51.51 
51.79, 50.46, 53.29, 47.52, 2243358.67, 50.46, 44.55, 50.46, 43.73, 1598574.94, 44.55, 50.62, 52.51, 44.17, 2145203.22, 50.62, 47.99, 51.4, 47.99, 1614954.18, 47.99, 49.16, 49.72, 47.54, 1349694.6, 50.66 
50.46, 44.55, 50.46, 43.73, 1598574.94, 44.55, 50.62, 52.51, 44.17, 2145203.22, 50.62, 47.99, 51.4, 47.99, 1614954.18, 47.99, 49.16, 49.72, 47.54, 1349694.6, 49.16, 46.56, 49.6, 45.6, 1084027.73, 55.81 
44.55, 50.62, 52.51, 44.17, 2145203.22, 50.62, 47.99, 51.4, 47.99, 1614954.18, 47.99, 49.16, 49.72, 47.54, 1349694.6, 49.16, 46.56, 49.6, 45.6, 1084027.73, 46.56, 49.17, 49.4, 45.47, 905979.55, 53.84 
50.62, 47.99, 51.4, 47.99, 1614954.18, 47.99, 49.16, 49.72, 47.54, 1349694.6, 49.16, 46.56, 49.6, 45.6, 1084027.73, 46.56, 49.17, 49.4, 45.47, 905979.55, 49.17, 53.46, 54.75, 48.26, 2500944.4, 53.68 
47.99, 49.16, 49.72, 47.54, 1349694.6, 49.16, 46.56, 49.6, 45.6, 1084027.73, 46.56, 49.17, 49.4, 45.47, 905979.55, 49.17, 53.46, 54.75, 48.26, 2500944.4, 53.46, 50.46, 53.79, 48.96, 1092720.15, 52.99 
49.16, 46.56, 49.6, 45.6, 1084027.73, 46.56, 49.17, 49.4, 45.47, 905979.55, 49.17, 53.46, 54.75, 48.26, 2500944.4, 53.46, 50.46, 53.79, 48.96, 1092720.15, 50.46, 51.51, 52.02, 50.01, 1272360.38, 45.69 
46.56, 49.17, 49.4, 45.47, 905979.55, 49.17, 53.46, 54.75, 48.26, 2500944.4, 53.46, 50.46, 53.79, 48.96, 1092720.15, 50.46, 51.51, 52.02, 50.01, 1272360.38, 51.51, 50.66, 52.83, 50.2, 1432113.61, 45.88 
49.17, 53.46, 54.75, 48.26, 2500944.4, 53.46, 50.46, 53.79, 48.96, 1092720.15, 50.46, 51.51, 52.02, 50.01, 1272360.38, 51.51, 50.66, 52.83, 50.2, 1432113.61, 50.66, 55.81, 56.27, 50, 1905095.15, 45.44 
53.46, 50.46, 53.79, 48.96, 1092720.15, 50.46, 51.51, 52.02, 50.01, 1272360.38, 51.51, 50.66, 52.83, 50.2, 1432113.61, 50.66, 55.81, 56.27, 50, 1905095.15, 55.81, 53.84, 56.4, 52.04, 1415385.95, 43.31 
50.46, 51.51, 52.02, 50.01, 1272360.38, 51.51, 50.66, 52.83, 50.2, 1432113.61, 50.66, 55.81, 56.27, 50, 1905095.15, 55.81, 53.84, 56.4, 52.04, 1415385.95, 53.84, 53.68, 55.78, 52.58, 1019418.1, 46.46 
51.51, 50.66, 52.83, 50.2, 1432113.61, 50.66, 55.81, 56.27, 50, 1905095.15, 55.81, 53.84, 56.4, 52.04, 1415385.95, 53.84, 53.68, 55.78, 52.58, 1019418.1, 53.68, 52.99, 55.76, 52.26, 1285089.24, 45.2 
50.66, 55.81, 56.27, 50, 1905095.15, 55.81, 53.84, 56.4, 52.04, 1415385.95, 53.84, 53.68, 55.78, 52.58, 1019418.1, 53.68, 52.99, 55.76, 52.26, 1285089.24, 52.99, 45.69, 54.57, 44.16, 4008743.64, 46.38 
55.81, 53.84, 56.4, 52.04, 1415385.95, 53.84, 53.68, 55.78, 52.58, 1019418.1, 53.68, 52.99, 55.76, 52.26, 1285089.24, 52.99, 45.69, 54.57, 44.16, 4008743.64, 45.69, 45.88, 47.4, 45.22, 1224422.83, 46.1 
53.84, 53.68, 55.78, 52.58, 1019418.1, 53.68, 52.99, 55.76, 52.26, 1285089.24, 52.99, 45.69, 54.57, 44.16, 4008743.64, 45.69, 45.88, 47.4, 45.22, 1224422.83, 45.88, 45.44, 46.3, 44.56, 884235.46, 45.34 
53.68, 52.99, 55.76, 52.26, 1285089.24, 52.99, 45.69, 54.57, 44.16, 4008743.64, 45.69, 45.88, 47.4, 45.22, 1224422.83, 45.88, 45.44, 46.3, 44.56, 884235.46, 45.44, 43.31, 46.01, 42.78, 897231.97, 46.64 
