@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.3005, 0.3081, 0.3128, 0.2985, 13663002.63, 0.3081, 0.3002, 0.3089, 0.2965, 13219726.66, 0.3002, 0.2894, 0.3007, 0.2834, 18128748.2, 0.2894, 0.2858, 0.2925, 0.2815, 10914056.9, 0.2858, 0.2891, 0.2978, 0.285, 11110154.39, 0.3675 
0.3081, 0.3002, 0.3089, 0.2965, 13219726.66, 0.3002, 0.2894, 0.3007, 0.2834, 18128748.2, 0.2894, 0.2858, 0.2925, 0.2815, 10914056.9, 0.2858, 0.2891, 0.2978, 0.285, 11110154.39, 0.2891, 0.3319, 0.342, 0.2866, 36137780.7, 0.3757 
0.3002, 0.2894, 0.3007, 0.2834, 18128748.2, 0.2894, 0.2858, 0.2925, 0.2815, 10914056.9, 0.2858, 0.2891, 0.2978, 0.285, 11110154.39, 0.2891, 0.3319, 0.342, 0.2866, 36137780.7, 0.3319, 0.3558, 0.3561, 0.3263, 35829098.59, 0.4097 
0.2894, 0.2858, 0.2925, 0.2815, 10914056.9, 0.2858, 0.2891, 0.2978, 0.285, 11110154.39, 0.2891, 0.3319, 0.342, 0.2866, 36137780.7, 0.3319, 0.3558, 0.3561, 0.3263, 35829098.59, 0.3558, 0.3531, 0.3998, 0.3488, 62670645.69, 0.3862 
0.2858, 0.2891, 0.2978, 0.285, 11110154.39, 0.2891, 0.3319, 0.342, 0.2866, 36137780.7, 0.3319, 0.3558, 0.3561, 0.3263, 35829098.59, 0.3558, 0.3531, 0.3998, 0.3488, 62670645.69, 0.3531, 0.3808, 0.395, 0.348, 56271426.04, 0.3833 
0.2891, 0.3319, 0.342, 0.2866, 36137780.7, 0.3319, 0.3558, 0.3561, 0.3263, 35829098.59, 0.3558, 0.3531, 0.3998, 0.3488, 62670645.69, 0.3531, 0.3808, 0.395, 0.348, 56271426.04, 0.3808, 0.3609, 0.3906, 0.3547, 36784583.78, 0.342 
0.3319, 0.3558, 0.3561, 0.3263, 35829098.59, 0.3558, 0.3531, 0.3998, 0.3488, 62670645.69, 0.3531, 0.3808, 0.395, 0.348, 56271426.04, 0.3808, 0.3609, 0.3906, 0.3547, 36784583.78, 0.3609, 0.3675, 0.3697, 0.3504, 18643706.84, 0.3821 
0.3558, 0.3531, 0.3998, 0.3488, 62670645.69, 0.3531, 0.3808, 0.395, 0.348, 56271426.04, 0.3808, 0.3609, 0.3906, 0.3547, 36784583.78, 0.3609, 0.3675, 0.3697, 0.3504, 18643706.84, 0.3675, 0.3757, 0.3898, 0.3656, 25513308.93, 0.368 
0.3531, 0.3808, 0.395, 0.348, 56271426.04, 0.3808, 0.3609, 0.3906, 0.3547, 36784583.78, 0.3609, 0.3675, 0.3697, 0.3504, 18643706.84, 0.3675, 0.3757, 0.3898, 0.3656, 25513308.93, 0.3757, 0.4097, 0.4601, 0.3754, 91460052.23, 0.3752 
0.3808, 0.3609, 0.3906, 0.3547, 36784583.78, 0.3609, 0.3675, 0.3697, 0.3504, 18643706.84, 0.3675, 0.3757, 0.3898, 0.3656, 25513308.93, 0.3757, 0.4097, 0.4601, 0.3754, 91460052.23, 0.4097, 0.3862, 0.4126, 0.37, 39193121.17, 0.3564 
