@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
1.45, 1.35, 1.45, 1.35, 3.38, 1.35, 1.35, 1.35, 1.35, 5.64, 1.35, 1.31, 1.35, 1.3, 8.07, 1.31, 1.31, 1.34, 1.31, 7.62, 1.31, 1.31, 1.31, 1.31, 5.48, 1.27 
1.35, 1.35, 1.35, 1.35, 5.64, 1.35, 1.31, 1.35, 1.3, 8.07, 1.31, 1.31, 1.34, 1.31, 7.62, 1.31, 1.31, 1.31, 1.31, 5.48, 1.31, 1.34, 1.35, 1.31, 9.52, 1.25 
1.35, 1.31, 1.35, 1.3, 8.07, 1.31, 1.31, 1.34, 1.31, 7.62, 1.31, 1.31, 1.31, 1.31, 5.48, 1.31, 1.34, 1.35, 1.31, 9.52, 1.34, 1.32, 1.34, 1.31, 7.11, 1.25 
1.31, 1.31, 1.34, 1.31, 7.62, 1.31, 1.31, 1.31, 1.31, 5.48, 1.31, 1.34, 1.35, 1.31, 9.52, 1.34, 1.32, 1.34, 1.31, 7.11, 1.32, 1.32, 1.32, 1.31, 8.83, 1.24 
1.31, 1.31, 1.31, 1.31, 5.48, 1.31, 1.34, 1.35, 1.31, 9.52, 1.34, 1.32, 1.34, 1.31, 7.11, 1.32, 1.32, 1.32, 1.31, 8.83, 1.32, 1.36, 1.36, 1.32, 275.85, 1.39 
1.31, 1.34, 1.35, 1.31, 9.52, 1.34, 1.32, 1.34, 1.31, 7.11, 1.32, 1.32, 1.32, 1.31, 8.83, 1.32, 1.36, 1.36, 1.32, 275.85, 1.36, 1.36, 1.36, 1.36, 0, 1.38 
1.34, 1.32, 1.34, 1.31, 7.11, 1.32, 1.32, 1.32, 1.31, 8.83, 1.32, 1.36, 1.36, 1.32, 275.85, 1.36, 1.36, 1.36, 1.36, 0, 1.36, 1.27, 1.36, 1.27, 9.5, 1.44 
1.32, 1.32, 1.32, 1.31, 8.83, 1.32, 1.36, 1.36, 1.32, 275.85, 1.36, 1.36, 1.36, 1.36, 0, 1.36, 1.27, 1.36, 1.27, 9.5, 1.27, 1.25, 1.27, 1.25, 5.8, 1.38 
1.32, 1.36, 1.36, 1.32, 275.85, 1.36, 1.36, 1.36, 1.36, 0, 1.36, 1.27, 1.36, 1.27, 9.5, 1.27, 1.25, 1.27, 1.25, 5.8, 1.25, 1.25, 1.25, 1.24, 7.13, 1.35 
1.36, 1.36, 1.36, 1.36, 0, 1.36, 1.27, 1.36, 1.27, 9.5, 1.27, 1.25, 1.27, 1.25, 5.8, 1.25, 1.25, 1.25, 1.24, 7.13, 1.25, 1.24, 1.25, 1.24, 4.64, 1.34 
1.36, 1.27, 1.36, 1.27, 9.5, 1.27, 1.25, 1.27, 1.25, 5.8, 1.25, 1.25, 1.25, 1.24, 7.13, 1.25, 1.24, 1.25, 1.24, 4.64, 1.24, 1.39, 1.39, 1.23, 7.79, 1.38 
1.27, 1.25, 1.27, 1.25, 5.8, 1.25, 1.25, 1.25, 1.24, 7.13, 1.25, 1.24, 1.25, 1.24, 4.64, 1.24, 1.39, 1.39, 1.23, 7.79, 1.39, 1.38, 1.39, 1.38, 9.05, 1.4 
