@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.005821, 0.005856, 0.005926, 0.005716, 887193.93, 0.005553, 0.00552, 0.005685, 0.005453, 995103.25, 0.005403, 0.005727, 0.005986, 0.005371, 1484867.41, 0.005722, 0.005657, 0.005754, 0.005495, 1102722.6, 0.005697, 0.005599, 0.005795, 0.005599, 792854.42, 0.00809 
0.005553, 0.00552, 0.005685, 0.005453, 995103.25, 0.005403, 0.005727, 0.005986, 0.005371, 1484867.41, 0.005722, 0.005657, 0.005754, 0.005495, 1102722.6, 0.005697, 0.005599, 0.005795, 0.005599, 792854.42, 0.006103, 0.00628, 0.006422, 0.006067, 1472879.64, 0.008176 
0.005403, 0.005727, 0.005986, 0.005371, 1484867.41, 0.005722, 0.005657, 0.005754, 0.005495, 1102722.6, 0.005697, 0.005599, 0.005795, 0.005599, 792854.42, 0.006103, 0.00628, 0.006422, 0.006067, 1472879.64, 0.006577, 0.006614, 0.006651, 0.006428, 1393106.88, 0.008368 
0.005722, 0.005657, 0.005754, 0.005495, 1102722.6, 0.005697, 0.005599, 0.005795, 0.005599, 792854.42, 0.006103, 0.00628, 0.006422, 0.006067, 1472879.64, 0.006577, 0.006614, 0.006651, 0.006428, 1393106.88, 0.006651, 0.006913, 0.007548, 0.006651, 4701496.94, 0.007516 
0.005697, 0.005599, 0.005795, 0.005599, 792854.42, 0.006103, 0.00628, 0.006422, 0.006067, 1472879.64, 0.006577, 0.006614, 0.006651, 0.006428, 1393106.88, 0.006651, 0.006913, 0.007548, 0.006651, 4701496.94, 0.007655, 0.008275, 0.008606, 0.007613, 4474957.13, 0.007505 
0.006103, 0.00628, 0.006422, 0.006067, 1472879.64, 0.006577, 0.006614, 0.006651, 0.006428, 1393106.88, 0.006651, 0.006913, 0.007548, 0.006651, 4701496.94, 0.007655, 0.008275, 0.008606, 0.007613, 4474957.13, 0.007798, 0.007681, 0.008071, 0.007447, 3469755.26, 0.006672 
0.006577, 0.006614, 0.006651, 0.006428, 1393106.88, 0.006651, 0.006913, 0.007548, 0.006651, 4701496.94, 0.007655, 0.008275, 0.008606, 0.007613, 4474957.13, 0.007798, 0.007681, 0.008071, 0.007447, 3469755.26, 0.007969, 0.00809, 0.008374, 0.007767, 2720057.93, 0.00758 
0.006651, 0.006913, 0.007548, 0.006651, 4701496.94, 0.007655, 0.008275, 0.008606, 0.007613, 4474957.13, 0.007798, 0.007681, 0.008071, 0.007447, 3469755.26, 0.007969, 0.00809, 0.008374, 0.007767, 2720057.93, 0.008015, 0.008176, 0.008376, 0.007975, 2046089.62, 0.007138 
0.007655, 0.008275, 0.008606, 0.007613, 4474957.13, 0.007798, 0.007681, 0.008071, 0.007447, 3469755.26, 0.007969, 0.00809, 0.008374, 0.007767, 2720057.93, 0.008015, 0.008176, 0.008376, 0.007975, 2046089.62, 0.008327, 0.008368, 0.008735, 0.008286, 3207853.6, 0.007364 
0.007798, 0.007681, 0.008071, 0.007447, 3469755.26, 0.007969, 0.00809, 0.008374, 0.007767, 2720057.93, 0.008015, 0.008176, 0.008376, 0.007975, 2046089.62, 0.008327, 0.008368, 0.008735, 0.008286, 3207853.6, 0.007861, 0.007516, 0.0079, 0.007286, 2054048.9, 0.00682 
0.007969, 0.00809, 0.008374, 0.007767, 2720057.93, 0.008015, 0.008176, 0.008376, 0.007975, 2046089.62, 0.008327, 0.008368, 0.008735, 0.008286, 3207853.6, 0.007861, 0.007516, 0.0079, 0.007286, 2054048.9, 0.007544, 0.007505, 0.007736, 0.00739, 1399829.84, 0.007139 
0.008015, 0.008176, 0.008376, 0.007975, 2046089.62, 0.008327, 0.008368, 0.008735, 0.008286, 3207853.6, 0.007861, 0.007516, 0.0079, 0.007286, 2054048.9, 0.007544, 0.007505, 0.007736, 0.00739, 1399829.84, 0.00711, 0.006672, 0.00711, 0.006636, 1449180.74, 0.007328 
0.008327, 0.008368, 0.008735, 0.008286, 3207853.6, 0.007861, 0.007516, 0.0079, 0.007286, 2054048.9, 0.007544, 0.007505, 0.007736, 0.00739, 1399829.84, 0.00711, 0.006672, 0.00711, 0.006636, 1449180.74, 0.007225, 0.00758, 0.007659, 0.007146, 1635500.34, 0.006981 
0.007861, 0.007516, 0.0079, 0.007286, 2054048.9, 0.007544, 0.007505, 0.007736, 0.00739, 1399829.84, 0.00711, 0.006672, 0.00711, 0.006636, 1449180.74, 0.007225, 0.00758, 0.007659, 0.007146, 1635500.34, 0.00729, 0.007138, 0.007328, 0.007101, 1099984.8, 0.006935 
0.007544, 0.007505, 0.007736, 0.00739, 1399829.84, 0.00711, 0.006672, 0.00711, 0.006636, 1449180.74, 0.007225, 0.00758, 0.007659, 0.007146, 1635500.34, 0.00729, 0.007138, 0.007328, 0.007101, 1099984.8, 0.007325, 0.007364, 0.007481, 0.007208, 860689.76, 0.007017 
0.00711, 0.006672, 0.00711, 0.006636, 1449180.74, 0.007225, 0.00758, 0.007659, 0.007146, 1635500.34, 0.00729, 0.007138, 0.007328, 0.007101, 1099984.8, 0.007325, 0.007364, 0.007481, 0.007208, 860689.76, 0.007083, 0.00682, 0.00712, 0.006783, 890501.26, 0.007426 
0.007225, 0.00758, 0.007659, 0.007146, 1635500.34, 0.00729, 0.007138, 0.007328, 0.007101, 1099984.8, 0.007325, 0.007364, 0.007481, 0.007208, 860689.76, 0.007083, 0.00682, 0.00712, 0.006783, 890501.26, 0.007062, 0.007139, 0.007217, 0.006945, 1136587.37, 0.00725 
0.00729, 0.007138, 0.007328, 0.007101, 1099984.8, 0.007325, 0.007364, 0.007481, 0.007208, 860689.76, 0.007083, 0.00682, 0.00712, 0.006783, 890501.26, 0.007062, 0.007139, 0.007217, 0.006945, 1136587.37, 0.007288, 0.007328, 0.007407, 0.007209, 955299.26, 0.007193 
0.007325, 0.007364, 0.007481, 0.007208, 860689.76, 0.007083, 0.00682, 0.00712, 0.006783, 890501.26, 0.007062, 0.007139, 0.007217, 0.006945, 1136587.37, 0.007288, 0.007328, 0.007407, 0.007209, 955299.26, 0.007096, 0.006981, 0.007096, 0.006905, 818298.9, 0.007247 
0.007083, 0.00682, 0.00712, 0.006783, 890501.26, 0.007062, 0.007139, 0.007217, 0.006945, 1136587.37, 0.007288, 0.007328, 0.007407, 0.007209, 955299.26, 0.007096, 0.006981, 0.007096, 0.006905, 818298.9, 0.007051, 0.006935, 0.007128, 0.006857, 1006695.08, 0.007593 
0.007062, 0.007139, 0.007217, 0.006945, 1136587.37, 0.007288, 0.007328, 0.007407, 0.007209, 955299.26, 0.007096, 0.006981, 0.007096, 0.006905, 818298.9, 0.007051, 0.006935, 0.007128, 0.006857, 1006695.08, 0.006901, 0.007017, 0.00721, 0.006863, 1241587.54, 0.007155 
