@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.09021, 0.08969, 0.09498, 0.07472, 144708.65, 0.08989, 0.08732, 0.09523, 0.08343, 87601.68, 0.08666, 0.0926, 0.0954, 0.06278, 92512.8, 0.09381, 0.08927, 0.09466, 0.07336, 88124.96, 0.09067, 0.09185, 0.09495, 0.08475, 80836.67, 0.08365 
0.08989, 0.08732, 0.09523, 0.08343, 87601.68, 0.08666, 0.0926, 0.0954, 0.06278, 92512.8, 0.09381, 0.08927, 0.09466, 0.07336, 88124.96, 0.09067, 0.09185, 0.09495, 0.08475, 80836.67, 0.09259, 0.08616, 0.09512, 0.07475, 98483.5, 0.07638 
0.08666, 0.0926, 0.0954, 0.06278, 92512.8, 0.09381, 0.08927, 0.09466, 0.07336, 88124.96, 0.09067, 0.09185, 0.09495, 0.08475, 80836.67, 0.09259, 0.08616, 0.09512, 0.07475, 98483.5, 0.086, 0.08461, 0.09114, 0.08106, 108941.32, 0.07939 
0.09381, 0.08927, 0.09466, 0.07336, 88124.96, 0.09067, 0.09185, 0.09495, 0.08475, 80836.67, 0.09259, 0.08616, 0.09512, 0.07475, 98483.5, 0.086, 0.08461, 0.09114, 0.08106, 108941.32, 0.0839, 0.08608, 0.08964, 0.081, 110422.08, 0.07909 
0.09067, 0.09185, 0.09495, 0.08475, 80836.67, 0.09259, 0.08616, 0.09512, 0.07475, 98483.5, 0.086, 0.08461, 0.09114, 0.08106, 108941.32, 0.0839, 0.08608, 0.08964, 0.081, 110422.08, 0.08672, 0.08392, 0.09111, 0.08186, 84122.16, 0.07822 
0.09259, 0.08616, 0.09512, 0.07475, 98483.5, 0.086, 0.08461, 0.09114, 0.08106, 108941.32, 0.0839, 0.08608, 0.08964, 0.081, 110422.08, 0.08672, 0.08392, 0.09111, 0.08186, 84122.16, 0.08369, 0.08462, 0.09039, 0.07474, 143736.82, 0.07637 
0.086, 0.08461, 0.09114, 0.08106, 108941.32, 0.0839, 0.08608, 0.08964, 0.081, 110422.08, 0.08672, 0.08392, 0.09111, 0.08186, 84122.16, 0.08369, 0.08462, 0.09039, 0.07474, 143736.82, 0.08509, 0.08365, 0.09062, 0.06989, 92720.8, 0.07465 
0.0839, 0.08608, 0.08964, 0.081, 110422.08, 0.08672, 0.08392, 0.09111, 0.08186, 84122.16, 0.08369, 0.08462, 0.09039, 0.07474, 143736.82, 0.08509, 0.08365, 0.09062, 0.06989, 92720.8, 0.07843, 0.07638, 0.08333, 0.06967, 106371.76, 0.07548 
0.08672, 0.08392, 0.09111, 0.08186, 84122.16, 0.08369, 0.08462, 0.09039, 0.07474, 143736.82, 0.08509, 0.08365, 0.09062, 0.06989, 92720.8, 0.07843, 0.07638, 0.08333, 0.06967, 106371.76, 0.07726, 0.07939, 0.08226, 0.07138, 105062.39, 0.07235 
0.08369, 0.08462, 0.09039, 0.07474, 143736.82, 0.08509, 0.08365, 0.09062, 0.06989, 92720.8, 0.07843, 0.07638, 0.08333, 0.06967, 106371.76, 0.07726, 0.07939, 0.08226, 0.07138, 105062.39, 0.07978, 0.07909, 0.08129, 0.07352, 78794.4, 0.07239 
0.08509, 0.08365, 0.09062, 0.06989, 92720.8, 0.07843, 0.07638, 0.08333, 0.06967, 106371.76, 0.07726, 0.07939, 0.08226, 0.07138, 105062.39, 0.07978, 0.07909, 0.08129, 0.07352, 78794.4, 0.07879, 0.07822, 0.0813, 0.07389, 92025.35, 0.0736 
0.07843, 0.07638, 0.08333, 0.06967, 106371.76, 0.07726, 0.07939, 0.08226, 0.07138, 105062.39, 0.07978, 0.07909, 0.08129, 0.07352, 78794.4, 0.07879, 0.07822, 0.0813, 0.07389, 92025.35, 0.08166, 0.07637, 0.08391, 0.06566, 97213.97, 0.07167 
