@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
10.02, 10.11, 10.51, 10, 6795829.78, 10.08, 9.99, 10.2, 9.95, 5184986.22, 9.92, 10.5, 10.6, 9.63, 3271748.03, 9.9, 9.32, 9.95, 8.83, 711972.14, 9.26, 9.08, 9.41, 8.98, 746978.55, 9.52 
10.08, 9.99, 10.2, 9.95, 5184986.22, 9.92, 10.5, 10.6, 9.63, 3271748.03, 9.9, 9.32, 9.95, 8.83, 711972.14, 9.26, 9.08, 9.41, 8.98, 746978.55, 9.11, 8.99, 9.33, 8.88, 1070195.49, 9.25 
9.92, 10.5, 10.6, 9.63, 3271748.03, 9.9, 9.32, 9.95, 8.83, 711972.14, 9.26, 9.08, 9.41, 8.98, 746978.55, 9.11, 8.99, 9.33, 8.88, 1070195.49, 9.01, 9.01, 9.22, 8.88, 520466.16, 10.36 
9.9, 9.32, 9.95, 8.83, 711972.14, 9.26, 9.08, 9.41, 8.98, 746978.55, 9.11, 8.99, 9.33, 8.88, 1070195.49, 9.01, 9.01, 9.22, 8.88, 520466.16, 9.49, 9.61, 9.65, 9.22, 894738.19, 9.97 
9.26, 9.08, 9.41, 8.98, 746978.55, 9.11, 8.99, 9.33, 8.88, 1070195.49, 9.01, 9.01, 9.22, 8.88, 520466.16, 9.49, 9.61, 9.65, 9.22, 894738.19, 9.57, 9.97, 10.13, 9.26, 902188.39, 9.96 
9.11, 8.99, 9.33, 8.88, 1070195.49, 9.01, 9.01, 9.22, 8.88, 520466.16, 9.49, 9.61, 9.65, 9.22, 894738.19, 9.57, 9.97, 10.13, 9.26, 902188.39, 9.96, 10.16, 10.49, 9.81, 451768.57, 9.64 
9.01, 9.01, 9.22, 8.88, 520466.16, 9.49, 9.61, 9.65, 9.22, 894738.19, 9.57, 9.97, 10.13, 9.26, 902188.39, 9.96, 10.16, 10.49, 9.81, 451768.57, 10.03, 9.52, 10.1, 9.38, 714360.71, 9.85 
9.49, 9.61, 9.65, 9.22, 894738.19, 9.57, 9.97, 10.13, 9.26, 902188.39, 9.96, 10.16, 10.49, 9.81, 451768.57, 10.03, 9.52, 10.1, 9.38, 714360.71, 9.49, 9.25, 9.78, 9.23, 712096.17, 10.67 
9.57, 9.97, 10.13, 9.26, 902188.39, 9.96, 10.16, 10.49, 9.81, 451768.57, 10.03, 9.52, 10.1, 9.38, 714360.71, 9.49, 9.25, 9.78, 9.23, 712096.17, 9.28, 10.36, 13.88, 9.26, 3461241.71, 10.87 
9.96, 10.16, 10.49, 9.81, 451768.57, 10.03, 9.52, 10.1, 9.38, 714360.71, 9.49, 9.25, 9.78, 9.23, 712096.17, 9.28, 10.36, 13.88, 9.26, 3461241.71, 10.38, 9.97, 10.4, 9.91, 1566577.23, 10.84 
