@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
53.99, 55.53, 58.51, 53.39, 1470924.4, 55.53, 51.66, 55.65, 50.74, 1945920.45, 51.66, 49.43, 52.76, 48.66, 1220020.92, 49.43, 50.56, 51.27, 48.57, 636450.44, 50.56, 51.61, 54.23, 50.28, 1449096.23, 64.68 
55.53, 51.66, 55.65, 50.74, 1945920.45, 51.66, 49.43, 52.76, 48.66, 1220020.92, 49.43, 50.56, 51.27, 48.57, 636450.44, 50.56, 51.61, 54.23, 50.28, 1449096.23, 51.61, 57.2, 58.91, 51.28, 2149073.68, 66.15 
51.66, 49.43, 52.76, 48.66, 1220020.92, 49.43, 50.56, 51.27, 48.57, 636450.44, 50.56, 51.61, 54.23, 50.28, 1449096.23, 51.61, 57.2, 58.91, 51.28, 2149073.68, 57.2, 59.45, 59.48, 54.52, 1547060.29, 69.02 
49.43, 50.56, 51.27, 48.57, 636450.44, 50.56, 51.61, 54.23, 50.28, 1449096.23, 51.61, 57.2, 58.91, 51.28, 2149073.68, 57.2, 59.45, 59.48, 54.52, 1547060.29, 59.45, 57.92, 62.8, 57.01, 3627738.29, 62.41 
50.56, 51.61, 54.23, 50.28, 1449096.23, 51.61, 57.2, 58.91, 51.28, 2149073.68, 57.2, 59.45, 59.48, 54.52, 1547060.29, 59.45, 57.92, 62.8, 57.01, 3627738.29, 57.92, 66.5, 66.75, 56.41, 2955144.85, 61.78 
51.61, 57.2, 58.91, 51.28, 2149073.68, 57.2, 59.45, 59.48, 54.52, 1547060.29, 59.45, 57.92, 62.8, 57.01, 3627738.29, 57.92, 66.5, 66.75, 56.41, 2955144.85, 66.5, 62.27, 67.22, 60.65, 2338163.47, 56.76 
57.2, 59.45, 59.48, 54.52, 1547060.29, 59.45, 57.92, 62.8, 57.01, 3627738.29, 57.92, 66.5, 66.75, 56.41, 2955144.85, 66.5, 62.27, 67.22, 60.65, 2338163.47, 62.27, 64.68, 64.8, 61.03, 866071.37, 63.45 
59.45, 57.92, 62.8, 57.01, 3627738.29, 57.92, 66.5, 66.75, 56.41, 2955144.85, 66.5, 62.27, 67.22, 60.65, 2338163.47, 62.27, 64.68, 64.8, 61.03, 866071.37, 64.68, 66.15, 69.08, 64.55, 1568524.12, 60.78 
57.92, 66.5, 66.75, 56.41, 2955144.85, 66.5, 62.27, 67.22, 60.65, 2338163.47, 62.27, 64.68, 64.8, 61.03, 866071.37, 64.68, 66.15, 69.08, 64.55, 1568524.12, 66.15, 69.02, 73.23, 66.04, 2552096.2, 60.68 
66.5, 62.27, 67.22, 60.65, 2338163.47, 62.27, 64.68, 64.8, 61.03, 866071.37, 64.68, 66.15, 69.08, 64.55, 1568524.12, 66.15, 69.02, 73.23, 66.04, 2552096.2, 69.02, 62.41, 69.02, 60.32, 1756253.01, 56.13 
62.27, 64.68, 64.8, 61.03, 866071.37, 64.68, 66.15, 69.08, 64.55, 1568524.12, 66.15, 69.02, 73.23, 66.04, 2552096.2, 69.02, 62.41, 69.02, 60.32, 1756253.01, 62.41, 61.78, 64.03, 59.17, 1256449.18, 59.84 
64.68, 66.15, 69.08, 64.55, 1568524.12, 66.15, 69.02, 73.23, 66.04, 2552096.2, 69.02, 62.41, 69.02, 60.32, 1756253.01, 62.41, 61.78, 64.03, 59.17, 1256449.18, 61.78, 56.76, 62.48, 55.87, 1183452.21, 62.29 
66.15, 69.02, 73.23, 66.04, 2552096.2, 69.02, 62.41, 69.02, 60.32, 1756253.01, 62.41, 61.78, 64.03, 59.17, 1256449.18, 61.78, 56.76, 62.48, 55.87, 1183452.21, 56.76, 63.45, 64.2, 55.76, 1711673.99, 59.49 
69.02, 62.41, 69.02, 60.32, 1756253.01, 62.41, 61.78, 64.03, 59.17, 1256449.18, 61.78, 56.76, 62.48, 55.87, 1183452.21, 56.76, 63.45, 64.2, 55.76, 1711673.99, 63.45, 60.78, 64.49, 59.9, 1662637.44, 59.7 
62.41, 61.78, 64.03, 59.17, 1256449.18, 61.78, 56.76, 62.48, 55.87, 1183452.21, 56.76, 63.45, 64.2, 55.76, 1711673.99, 63.45, 60.78, 64.49, 59.9, 1662637.44, 60.78, 60.68, 62.22, 59.54, 1191911.49, 58.45 
61.78, 56.76, 62.48, 55.87, 1183452.21, 56.76, 63.45, 64.2, 55.76, 1711673.99, 63.45, 60.78, 64.49, 59.9, 1662637.44, 60.78, 60.68, 62.22, 59.54, 1191911.49, 60.68, 56.13, 61.42, 56.12, 1535632.51, 62.76 
56.76, 63.45, 64.2, 55.76, 1711673.99, 63.45, 60.78, 64.49, 59.9, 1662637.44, 60.78, 60.68, 62.22, 59.54, 1191911.49, 60.68, 56.13, 61.42, 56.12, 1535632.51, 56.13, 59.84, 60.3, 55.42, 1442768.86, 61.4 
