@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
16.88, 16.29, 16.93, 16.18, 527035.91, 16.22, 17.11, 19.99, 16.12, 2398534.89, 16.94, 16.82, 17.04, 16.46, 523727.37, 16.72, 16.1, 16.73, 15.97, 508176.54, 16.32, 16.38, 16.71, 16.18, 550810.75, 15.68 
16.22, 17.11, 19.99, 16.12, 2398534.89, 16.94, 16.82, 17.04, 16.46, 523727.37, 16.72, 16.1, 16.73, 15.97, 508176.54, 16.32, 16.38, 16.71, 16.18, 550810.75, 16.51, 16.42, 16.63, 16.28, 344538.56, 13.57 
16.94, 16.82, 17.04, 16.46, 523727.37, 16.72, 16.1, 16.73, 15.97, 508176.54, 16.32, 16.38, 16.71, 16.18, 550810.75, 16.51, 16.42, 16.63, 16.28, 344538.56, 16.32, 16.19, 16.46, 16.08, 288493.82, 13.5 
16.72, 16.1, 16.73, 15.97, 508176.54, 16.32, 16.38, 16.71, 16.18, 550810.75, 16.51, 16.42, 16.63, 16.28, 344538.56, 16.32, 16.19, 16.46, 16.08, 288493.82, 16.21, 16.16, 16.35, 15.82, 347390.07, 13.44 
16.32, 16.38, 16.71, 16.18, 550810.75, 16.51, 16.42, 16.63, 16.28, 344538.56, 16.32, 16.19, 16.46, 16.08, 288493.82, 16.21, 16.16, 16.35, 15.82, 347390.07, 16.28, 16.13, 16.35, 15.7, 461887.71, 13.34 
16.51, 16.42, 16.63, 16.28, 344538.56, 16.32, 16.19, 16.46, 16.08, 288493.82, 16.21, 16.16, 16.35, 15.82, 347390.07, 16.28, 16.13, 16.35, 15.7, 461887.71, 16.08, 15.82, 16.14, 15.7, 357460.81, 13.36 
16.32, 16.19, 16.46, 16.08, 288493.82, 16.21, 16.16, 16.35, 15.82, 347390.07, 16.28, 16.13, 16.35, 15.7, 461887.71, 16.08, 15.82, 16.14, 15.7, 357460.81, 15.7, 15.68, 16.1, 15.52, 629895.08, 13.94 
16.21, 16.16, 16.35, 15.82, 347390.07, 16.28, 16.13, 16.35, 15.7, 461887.71, 16.08, 15.82, 16.14, 15.7, 357460.81, 15.7, 15.68, 16.1, 15.52, 629895.08, 14.79, 13.57, 14.88, 13.48, 845640.74, 14.06 
16.28, 16.13, 16.35, 15.7, 461887.71, 16.08, 15.82, 16.14, 15.7, 357460.81, 15.7, 15.68, 16.1, 15.52, 629895.08, 14.79, 13.57, 14.88, 13.48, 845640.74, 13.56, 13.5, 13.8, 13.4, 507919.82, 13.22 
16.08, 15.82, 16.14, 15.7, 357460.81, 15.7, 15.68, 16.1, 15.52, 629895.08, 14.79, 13.57, 14.88, 13.48, 845640.74, 13.56, 13.5, 13.8, 13.4, 507919.82, 13.54, 13.44, 13.69, 13.4, 498327.78, 13.38 
15.7, 15.68, 16.1, 15.52, 629895.08, 14.79, 13.57, 14.88, 13.48, 845640.74, 13.56, 13.5, 13.8, 13.4, 507919.82, 13.54, 13.44, 13.69, 13.4, 498327.78, 13.46, 13.34, 13.69, 13.33, 470559.7, 14.05 
14.79, 13.57, 14.88, 13.48, 845640.74, 13.56, 13.5, 13.8, 13.4, 507919.82, 13.54, 13.44, 13.69, 13.4, 498327.78, 13.46, 13.34, 13.69, 13.33, 470559.7, 14.05, 13.36, 14.32, 13.26, 899210.3, 13.9 
13.56, 13.5, 13.8, 13.4, 507919.82, 13.54, 13.44, 13.69, 13.4, 498327.78, 13.46, 13.34, 13.69, 13.33, 470559.7, 14.05, 13.36, 14.32, 13.26, 899210.3, 13.3, 13.94, 14.14, 12.89, 1168954.31, 13.89 
13.54, 13.44, 13.69, 13.4, 498327.78, 13.46, 13.34, 13.69, 13.33, 470559.7, 14.05, 13.36, 14.32, 13.26, 899210.3, 13.3, 13.94, 14.14, 12.89, 1168954.31, 13.92, 14.06, 14.99, 13.79, 1250075.16, 13.65 
13.46, 13.34, 13.69, 13.33, 470559.7, 14.05, 13.36, 14.32, 13.26, 899210.3, 13.3, 13.94, 14.14, 12.89, 1168954.31, 13.92, 14.06, 14.99, 13.79, 1250075.16, 13.85, 13.22, 13.89, 13.04, 746569.36, 13.98 
14.05, 13.36, 14.32, 13.26, 899210.3, 13.3, 13.94, 14.14, 12.89, 1168954.31, 13.92, 14.06, 14.99, 13.79, 1250075.16, 13.85, 13.22, 13.89, 13.04, 746569.36, 13.18, 13.38, 13.5, 13, 538182.94, 14.19 
13.3, 13.94, 14.14, 12.89, 1168954.31, 13.92, 14.06, 14.99, 13.79, 1250075.16, 13.85, 13.22, 13.89, 13.04, 746569.36, 13.18, 13.38, 13.5, 13, 538182.94, 13.44, 14.05, 15.34, 13.35, 1519190.95, 13.68 
13.92, 14.06, 14.99, 13.79, 1250075.16, 13.85, 13.22, 13.89, 13.04, 746569.36, 13.18, 13.38, 13.5, 13, 538182.94, 13.44, 14.05, 15.34, 13.35, 1519190.95, 14.09, 13.9, 14.45, 13.71, 478655.95, 14.43 
13.85, 13.22, 13.89, 13.04, 746569.36, 13.18, 13.38, 13.5, 13, 538182.94, 13.44, 14.05, 15.34, 13.35, 1519190.95, 14.09, 13.9, 14.45, 13.71, 478655.95, 13.84, 13.89, 13.89, 13.47, 635372.08, 14.25 
13.18, 13.38, 13.5, 13, 538182.94, 13.44, 14.05, 15.34, 13.35, 1519190.95, 14.09, 13.9, 14.45, 13.71, 478655.95, 13.84, 13.89, 13.89, 13.47, 635372.08, 13.86, 13.65, 14.11, 13.39, 809159.31, 13.23 
13.44, 14.05, 15.34, 13.35, 1519190.95, 14.09, 13.9, 14.45, 13.71, 478655.95, 13.84, 13.89, 13.89, 13.47, 635372.08, 13.86, 13.65, 14.11, 13.39, 809159.31, 13.66, 13.98, 14.57, 13.58, 1071552.18, 13.23 
14.09, 13.9, 14.45, 13.71, 478655.95, 13.84, 13.89, 13.89, 13.47, 635372.08, 13.86, 13.65, 14.11, 13.39, 809159.31, 13.66, 13.98, 14.57, 13.58, 1071552.18, 13.95, 14.19, 14.33, 13.58, 625331.02, 13.79 
13.84, 13.89, 13.89, 13.47, 635372.08, 13.86, 13.65, 14.11, 13.39, 809159.31, 13.66, 13.98, 14.57, 13.58, 1071552.18, 13.95, 14.19, 14.33, 13.58, 625331.02, 14.18, 13.68, 14.28, 13.44, 599258.97, 14.66 
13.86, 13.65, 14.11, 13.39, 809159.31, 13.66, 13.98, 14.57, 13.58, 1071552.18, 13.95, 14.19, 14.33, 13.58, 625331.02, 14.18, 13.68, 14.28, 13.44, 599258.97, 13.71, 14.43, 15.22, 13.54, 1859940.13, 14.22 
13.66, 13.98, 14.57, 13.58, 1071552.18, 13.95, 14.19, 14.33, 13.58, 625331.02, 14.18, 13.68, 14.28, 13.44, 599258.97, 13.71, 14.43, 15.22, 13.54, 1859940.13, 14.44, 14.25, 14.49, 14.13, 529658.25, 13.86 
13.95, 14.19, 14.33, 13.58, 625331.02, 14.18, 13.68, 14.28, 13.44, 599258.97, 13.71, 14.43, 15.22, 13.54, 1859940.13, 14.44, 14.25, 14.49, 14.13, 529658.25, 13.9, 13.23, 14.36, 12.87, 769827.11, 13.82 
14.18, 13.68, 14.28, 13.44, 599258.97, 13.71, 14.43, 15.22, 13.54, 1859940.13, 14.44, 14.25, 14.49, 14.13, 529658.25, 13.9, 13.23, 14.36, 12.87, 769827.11, 13.22, 13.23, 13.86, 13.04, 815970.97, 14.14 
13.71, 14.43, 15.22, 13.54, 1859940.13, 14.44, 14.25, 14.49, 14.13, 529658.25, 13.9, 13.23, 14.36, 12.87, 769827.11, 13.22, 13.23, 13.86, 13.04, 815970.97, 13.3, 13.79, 13.9, 13.19, 619746.32, 14.64 
14.44, 14.25, 14.49, 14.13, 529658.25, 13.9, 13.23, 14.36, 12.87, 769827.11, 13.22, 13.23, 13.86, 13.04, 815970.97, 13.3, 13.79, 13.9, 13.19, 619746.32, 13.87, 14.66, 19.33, 13.59, 8223521.72, 15.25 
13.9, 13.23, 14.36, 12.87, 769827.11, 13.22, 13.23, 13.86, 13.04, 815970.97, 13.3, 13.79, 13.9, 13.19, 619746.32, 13.87, 14.66, 19.33, 13.59, 8223521.72, 14.69, 14.22, 15.02, 14.14, 1210924.72, 14.89 
13.22, 13.23, 13.86, 13.04, 815970.97, 13.3, 13.79, 13.9, 13.19, 619746.32, 13.87, 14.66, 19.33, 13.59, 8223521.72, 14.69, 14.22, 15.02, 14.14, 1210924.72, 14.17, 13.86, 14.49, 13.36, 1532924.45, 15.12 
13.3, 13.79, 13.9, 13.19, 619746.32, 13.87, 14.66, 19.33, 13.59, 8223521.72, 14.69, 14.22, 15.02, 14.14, 1210924.72, 14.17, 13.86, 14.49, 13.36, 1532924.45, 14.05, 13.82, 14.67, 13.72, 1255237.16, 15.04 
13.87, 14.66, 19.33, 13.59, 8223521.72, 14.69, 14.22, 15.02, 14.14, 1210924.72, 14.17, 13.86, 14.49, 13.36, 1532924.45, 14.05, 13.82, 14.67, 13.72, 1255237.16, 13.75, 14.14, 14.55, 13.49, 1958595.17, 14.41 
14.69, 14.22, 15.02, 14.14, 1210924.72, 14.17, 13.86, 14.49, 13.36, 1532924.45, 14.05, 13.82, 14.67, 13.72, 1255237.16, 13.75, 14.14, 14.55, 13.49, 1958595.17, 14.24, 14.64, 14.92, 13.8, 2018915.88, 13.94 
14.17, 13.86, 14.49, 13.36, 1532924.45, 14.05, 13.82, 14.67, 13.72, 1255237.16, 13.75, 14.14, 14.55, 13.49, 1958595.17, 14.24, 14.64, 14.92, 13.8, 2018915.88, 14.75, 15.25, 15.66, 14.37, 2948956.86, 13.41 
14.05, 13.82, 14.67, 13.72, 1255237.16, 13.75, 14.14, 14.55, 13.49, 1958595.17, 14.24, 14.64, 14.92, 13.8, 2018915.88, 14.75, 15.25, 15.66, 14.37, 2948956.86, 14.99, 14.89, 15.43, 14.38, 2544332.92, 11.87 
13.75, 14.14, 14.55, 13.49, 1958595.17, 14.24, 14.64, 14.92, 13.8, 2018915.88, 14.75, 15.25, 15.66, 14.37, 2948956.86, 14.99, 14.89, 15.43, 14.38, 2544332.92, 14.73, 15.12, 15.49, 14.59, 1872873.73, 12.13 
14.24, 14.64, 14.92, 13.8, 2018915.88, 14.75, 15.25, 15.66, 14.37, 2948956.86, 14.99, 14.89, 15.43, 14.38, 2544332.92, 14.73, 15.12, 15.49, 14.59, 1872873.73, 15.17, 15.04, 15.24, 14.88, 566851.28, 11.88 
14.75, 15.25, 15.66, 14.37, 2948956.86, 14.99, 14.89, 15.43, 14.38, 2544332.92, 14.73, 15.12, 15.49, 14.59, 1872873.73, 15.17, 15.04, 15.24, 14.88, 566851.28, 15.07, 14.41, 15.14, 14.25, 688599.43, 11.53 
14.99, 14.89, 15.43, 14.38, 2544332.92, 14.73, 15.12, 15.49, 14.59, 1872873.73, 15.17, 15.04, 15.24, 14.88, 566851.28, 15.07, 14.41, 15.14, 14.25, 688599.43, 14.34, 13.94, 14.41, 13.92, 647154.18, 11.42 
14.73, 15.12, 15.49, 14.59, 1872873.73, 15.17, 15.04, 15.24, 14.88, 566851.28, 15.07, 14.41, 15.14, 14.25, 688599.43, 14.34, 13.94, 14.41, 13.92, 647154.18, 13.86, 13.41, 14.09, 13.32, 569665.38, 9.01 
15.17, 15.04, 15.24, 14.88, 566851.28, 15.07, 14.41, 15.14, 14.25, 688599.43, 14.34, 13.94, 14.41, 13.92, 647154.18, 13.86, 13.41, 14.09, 13.32, 569665.38, 12.15, 11.87, 12.26, 11.72, 745905.34, 8.33 
15.07, 14.41, 15.14, 14.25, 688599.43, 14.34, 13.94, 14.41, 13.92, 647154.18, 13.86, 13.41, 14.09, 13.32, 569665.38, 12.15, 11.87, 12.26, 11.72, 745905.34, 11.68, 12.13, 12.23, 11.5, 951176.13, 8.62 
14.34, 13.94, 14.41, 13.92, 647154.18, 13.86, 13.41, 14.09, 13.32, 569665.38, 12.15, 11.87, 12.26, 11.72, 745905.34, 11.68, 12.13, 12.23, 11.5, 951176.13, 12, 11.88, 12.75, 11.84, 817665.59, 8.06 
13.86, 13.41, 14.09, 13.32, 569665.38, 12.15, 11.87, 12.26, 11.72, 745905.34, 11.68, 12.13, 12.23, 11.5, 951176.13, 12, 11.88, 12.75, 11.84, 817665.59, 11.84, 11.53, 11.89, 11.13, 506486.73, 7.74 
12.15, 11.87, 12.26, 11.72, 745905.34, 11.68, 12.13, 12.23, 11.5, 951176.13, 12, 11.88, 12.75, 11.84, 817665.59, 11.84, 11.53, 11.89, 11.13, 506486.73, 11.63, 11.42, 11.7, 11.33, 485904.9, 6.76 
11.68, 12.13, 12.23, 11.5, 951176.13, 12, 11.88, 12.75, 11.84, 817665.59, 11.84, 11.53, 11.89, 11.13, 506486.73, 11.63, 11.42, 11.7, 11.33, 485904.9, 9.78, 9.01, 9.85, 8.97, 814252.44, 6.64 
12, 11.88, 12.75, 11.84, 817665.59, 11.84, 11.53, 11.89, 11.13, 506486.73, 11.63, 11.42, 11.7, 11.33, 485904.9, 9.78, 9.01, 9.85, 8.97, 814252.44, 8.31, 8.33, 9.11, 7.96, 815739.41, 5.99 
11.84, 11.53, 11.89, 11.13, 506486.73, 11.63, 11.42, 11.7, 11.33, 485904.9, 9.78, 9.01, 9.85, 8.97, 814252.44, 8.31, 8.33, 9.11, 7.96, 815739.41, 8.62, 8.62, 8.73, 8.39, 525883.7, 6.04 
11.63, 11.42, 11.7, 11.33, 485904.9, 9.78, 9.01, 9.85, 8.97, 814252.44, 8.31, 8.33, 9.11, 7.96, 815739.41, 8.62, 8.62, 8.73, 8.39, 525883.7, 8.11, 8.06, 8.37, 8.05, 392118.92, 6.96 
9.78, 9.01, 9.85, 8.97, 814252.44, 8.31, 8.33, 9.11, 7.96, 815739.41, 8.62, 8.62, 8.73, 8.39, 525883.7, 8.11, 8.06, 8.37, 8.05, 392118.92, 8.1, 7.74, 8.28, 7.62, 388365.34, 7.05 
8.31, 8.33, 9.11, 7.96, 815739.41, 8.62, 8.62, 8.73, 8.39, 525883.7, 8.11, 8.06, 8.37, 8.05, 392118.92, 8.1, 7.74, 8.28, 7.62, 388365.34, 6.85, 6.76, 7.07, 5.9, 371991.85, 6.67 
8.62, 8.62, 8.73, 8.39, 525883.7, 8.11, 8.06, 8.37, 8.05, 392118.92, 8.1, 7.74, 8.28, 7.62, 388365.34, 6.85, 6.76, 7.07, 5.9, 371991.85, 7.02, 6.64, 7.12, 6.32, 687798.29, 6.92 
8.11, 8.06, 8.37, 8.05, 392118.92, 8.1, 7.74, 8.28, 7.62, 388365.34, 6.85, 6.76, 7.07, 5.9, 371991.85, 7.02, 6.64, 7.12, 6.32, 687798.29, 6.31, 5.99, 6.45, 5.9, 585190.47, 6.76 
8.1, 7.74, 8.28, 7.62, 388365.34, 6.85, 6.76, 7.07, 5.9, 371991.85, 7.02, 6.64, 7.12, 6.32, 687798.29, 6.31, 5.99, 6.45, 5.9, 585190.47, 6.05, 6.04, 6.12, 5.93, 219539.69, 6.04 
6.85, 6.76, 7.07, 5.9, 371991.85, 7.02, 6.64, 7.12, 6.32, 687798.29, 6.31, 5.99, 6.45, 5.9, 585190.47, 6.05, 6.04, 6.12, 5.93, 219539.69, 6.73, 6.96, 7.93, 6.71, 1994713.24, 6.19 
7.02, 6.64, 7.12, 6.32, 687798.29, 6.31, 5.99, 6.45, 5.9, 585190.47, 6.05, 6.04, 6.12, 5.93, 219539.69, 6.73, 6.96, 7.93, 6.71, 1994713.24, 7, 7.05, 7.27, 6.91, 585626.58, 5.6 
6.31, 5.99, 6.45, 5.9, 585190.47, 6.05, 6.04, 6.12, 5.93, 219539.69, 6.73, 6.96, 7.93, 6.71, 1994713.24, 7, 7.05, 7.27, 6.91, 585626.58, 6.58, 6.67, 6.68, 6.3, 361081.65, 4.75 
6.05, 6.04, 6.12, 5.93, 219539.69, 6.73, 6.96, 7.93, 6.71, 1994713.24, 7, 7.05, 7.27, 6.91, 585626.58, 6.58, 6.67, 6.68, 6.3, 361081.65, 6.95, 6.92, 7.06, 6.84, 268621.39, 4.79 
6.73, 6.96, 7.93, 6.71, 1994713.24, 7, 7.05, 7.27, 6.91, 585626.58, 6.58, 6.67, 6.68, 6.3, 361081.65, 6.95, 6.92, 7.06, 6.84, 268621.39, 6.83, 6.76, 6.96, 6.71, 290317.8, 4.96 
7, 7.05, 7.27, 6.91, 585626.58, 6.58, 6.67, 6.68, 6.3, 361081.65, 6.95, 6.92, 7.06, 6.84, 268621.39, 6.83, 6.76, 6.96, 6.71, 290317.8, 6.31, 6.04, 6.34, 5.9, 399792.19, 5 
6.58, 6.67, 6.68, 6.3, 361081.65, 6.95, 6.92, 7.06, 6.84, 268621.39, 6.83, 6.76, 6.96, 6.71, 290317.8, 6.31, 6.04, 6.34, 5.9, 399792.19, 6.16, 6.19, 6.24, 6.06, 324665.87, 4.77 
6.95, 6.92, 7.06, 6.84, 268621.39, 6.83, 6.76, 6.96, 6.71, 290317.8, 6.31, 6.04, 6.34, 5.9, 399792.19, 6.16, 6.19, 6.24, 6.06, 324665.87, 5.86, 5.6, 5.91, 5.54, 354119.08, 4.8 
6.83, 6.76, 6.96, 6.71, 290317.8, 6.31, 6.04, 6.34, 5.9, 399792.19, 6.16, 6.19, 6.24, 6.06, 324665.87, 5.86, 5.6, 5.91, 5.54, 354119.08, 5.22, 4.75, 5.25, 4.75, 371696.81, 4.71 
6.31, 6.04, 6.34, 5.9, 399792.19, 6.16, 6.19, 6.24, 6.06, 324665.87, 5.86, 5.6, 5.91, 5.54, 354119.08, 5.22, 4.75, 5.25, 4.75, 371696.81, 4.66, 4.79, 4.81, 4.44, 405900.91, 4.39 
