@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.01377, 0.01405, 0.01433, 0.01359, 1824245.96, 0.01332, 0.01309, 0.01345, 0.01299, 1292435.72, 0.01281, 0.01268, 0.01291, 0.01242, 1477936.35, 0.01267, 0.01277, 0.0129, 0.01264, 1058024.7, 0.01286, 0.01305, 0.01344, 0.01286, 1151132.56, 0.01873 
0.01332, 0.01309, 0.01345, 0.01299, 1292435.72, 0.01281, 0.01268, 0.01291, 0.01242, 1477936.35, 0.01267, 0.01277, 0.0129, 0.01264, 1058024.7, 0.01286, 0.01305, 0.01344, 0.01286, 1151132.56, 0.01423, 0.0143, 0.01455, 0.01409, 2045043.51, 0.02008 
0.01281, 0.01268, 0.01291, 0.01242, 1477936.35, 0.01267, 0.01277, 0.0129, 0.01264, 1058024.7, 0.01286, 0.01305, 0.01344, 0.01286, 1151132.56, 0.01423, 0.0143, 0.01455, 0.01409, 2045043.51, 0.01497, 0.01587, 0.01683, 0.01486, 5488330.44, 0.02049 
0.01267, 0.01277, 0.0129, 0.01264, 1058024.7, 0.01286, 0.01305, 0.01344, 0.01286, 1151132.56, 0.01423, 0.0143, 0.01455, 0.01409, 2045043.51, 0.01497, 0.01587, 0.01683, 0.01486, 5488330.44, 0.01596, 0.01543, 0.01652, 0.01539, 4559342.7, 0.01821 
0.01286, 0.01305, 0.01344, 0.01286, 1151132.56, 0.01423, 0.0143, 0.01455, 0.01409, 2045043.51, 0.01497, 0.01587, 0.01683, 0.01486, 5488330.44, 0.01596, 0.01543, 0.01652, 0.01539, 4559342.7, 0.01709, 0.01742, 0.01771, 0.01705, 3539989.58, 0.01851 
0.01423, 0.0143, 0.01455, 0.01409, 2045043.51, 0.01497, 0.01587, 0.01683, 0.01486, 5488330.44, 0.01596, 0.01543, 0.01652, 0.01539, 4559342.7, 0.01709, 0.01742, 0.01771, 0.01705, 3539989.58, 0.01641, 0.01739, 0.01856, 0.01618, 5458299.5, 0.01692 
0.01497, 0.01587, 0.01683, 0.01486, 5488330.44, 0.01596, 0.01543, 0.01652, 0.01539, 4559342.7, 0.01709, 0.01742, 0.01771, 0.01705, 3539989.58, 0.01641, 0.01739, 0.01856, 0.01618, 5458299.5, 0.01804, 0.01873, 0.01889, 0.01752, 3483664.16, 0.02025 
0.01596, 0.01543, 0.01652, 0.01539, 4559342.7, 0.01709, 0.01742, 0.01771, 0.01705, 3539989.58, 0.01641, 0.01739, 0.01856, 0.01618, 5458299.5, 0.01804, 0.01873, 0.01889, 0.01752, 3483664.16, 0.01856, 0.02008, 0.02072, 0.01848, 7392566.16, 0.02092 
0.01709, 0.01742, 0.01771, 0.01705, 3539989.58, 0.01641, 0.01739, 0.01856, 0.01618, 5458299.5, 0.01804, 0.01873, 0.01889, 0.01752, 3483664.16, 0.01856, 0.02008, 0.02072, 0.01848, 7392566.16, 0.02045, 0.02049, 0.02176, 0.02021, 6148318.07, 0.02104 
0.01641, 0.01739, 0.01856, 0.01618, 5458299.5, 0.01804, 0.01873, 0.01889, 0.01752, 3483664.16, 0.01856, 0.02008, 0.02072, 0.01848, 7392566.16, 0.02045, 0.02049, 0.02176, 0.02021, 6148318.07, 0.01925, 0.01821, 0.01929, 0.01737, 4156614.56, 0.01941 
0.01804, 0.01873, 0.01889, 0.01752, 3483664.16, 0.01856, 0.02008, 0.02072, 0.01848, 7392566.16, 0.02045, 0.02049, 0.02176, 0.02021, 6148318.07, 0.01925, 0.01821, 0.01929, 0.01737, 4156614.56, 0.01828, 0.01851, 0.01924, 0.01794, 2805296.93, 0.02091 
0.01856, 0.02008, 0.02072, 0.01848, 7392566.16, 0.02045, 0.02049, 0.02176, 0.02021, 6148318.07, 0.01925, 0.01821, 0.01929, 0.01737, 4156614.56, 0.01828, 0.01851, 0.01924, 0.01794, 2805296.93, 0.01754, 0.01692, 0.01783, 0.01677, 2467187.76, 0.02099 
0.02045, 0.02049, 0.02176, 0.02021, 6148318.07, 0.01925, 0.01821, 0.01929, 0.01737, 4156614.56, 0.01828, 0.01851, 0.01924, 0.01794, 2805296.93, 0.01754, 0.01692, 0.01783, 0.01677, 2467187.76, 0.01832, 0.02025, 0.02077, 0.018, 4029882.64, 0.01991 
0.01925, 0.01821, 0.01929, 0.01737, 4156614.56, 0.01828, 0.01851, 0.01924, 0.01794, 2805296.93, 0.01754, 0.01692, 0.01783, 0.01677, 2467187.76, 0.01832, 0.02025, 0.02077, 0.018, 4029882.64, 0.01948, 0.02092, 0.02183, 0.01933, 8811848.06, 0.02073 
0.01828, 0.01851, 0.01924, 0.01794, 2805296.93, 0.01754, 0.01692, 0.01783, 0.01677, 2467187.76, 0.01832, 0.02025, 0.02077, 0.018, 4029882.64, 0.01948, 0.02092, 0.02183, 0.01933, 8811848.06, 0.02147, 0.02104, 0.02213, 0.02088, 4913113.24, 0.02051 
0.01754, 0.01692, 0.01783, 0.01677, 2467187.76, 0.01832, 0.02025, 0.02077, 0.018, 4029882.64, 0.01948, 0.02092, 0.02183, 0.01933, 8811848.06, 0.02147, 0.02104, 0.02213, 0.02088, 4913113.24, 0.02024, 0.01941, 0.02042, 0.01892, 3370707.34, 0.02191 
0.01832, 0.02025, 0.02077, 0.018, 4029882.64, 0.01948, 0.02092, 0.02183, 0.01933, 8811848.06, 0.02147, 0.02104, 0.02213, 0.02088, 4913113.24, 0.02024, 0.01941, 0.02042, 0.01892, 3370707.34, 0.0201, 0.02091, 0.02138, 0.02006, 2775185.25, 0.02252 
0.01948, 0.02092, 0.02183, 0.01933, 8811848.06, 0.02147, 0.02104, 0.02213, 0.02088, 4913113.24, 0.02024, 0.01941, 0.02042, 0.01892, 3370707.34, 0.0201, 0.02091, 0.02138, 0.02006, 2775185.25, 0.02135, 0.02099, 0.02147, 0.02091, 2211579.92, 0.02384 
0.02147, 0.02104, 0.02213, 0.02088, 4913113.24, 0.02024, 0.01941, 0.02042, 0.01892, 3370707.34, 0.0201, 0.02091, 0.02138, 0.02006, 2775185.25, 0.02135, 0.02099, 0.02147, 0.02091, 2211579.92, 0.02033, 0.01991, 0.02037, 0.0196, 2652755.44, 0.02429 
