@RELATION HistUtility
@ATTRIBUTE open0 NUMERIC
@ATTRIBUTE close0 NUMERIC
@ATTRIBUTE high0 NUMERIC
@ATTRIBUTE low0 NUMERIC
@ATTRIBUTE volumeto0 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE close1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE volumeto1 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE close2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE volumeto2 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE close3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE volumeto3 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE close4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE volumeto4 NUMERIC
@ATTRIBUTE next_close NUMERIC

@DATA
0.2992, 0.3074, 0.3153, 0.293, 894678.98, 0.3074, 0.2965, 0.3077, 0.2856, 852587.69, 0.2965, 0.2714, 0.2999, 0.2618, 1329121.42, 0.2714, 0.2653, 0.2837, 0.2615, 1008409.17, 0.2653, 0.2636, 0.2785, 0.2623, 706902.22, 0.3355 
0.3074, 0.2965, 0.3077, 0.2856, 852587.69, 0.2965, 0.2714, 0.2999, 0.2618, 1329121.42, 0.2714, 0.2653, 0.2837, 0.2615, 1008409.17, 0.2653, 0.2636, 0.2785, 0.2623, 706902.22, 0.2636, 0.2958, 0.3074, 0.2613, 1860617.93, 0.3441 
0.2965, 0.2714, 0.2999, 0.2618, 1329121.42, 0.2714, 0.2653, 0.2837, 0.2615, 1008409.17, 0.2653, 0.2636, 0.2785, 0.2623, 706902.22, 0.2636, 0.2958, 0.3074, 0.2613, 1860617.93, 0.2958, 0.3006, 0.3023, 0.2823, 1347271.03, 0.3642 
0.2714, 0.2653, 0.2837, 0.2615, 1008409.17, 0.2653, 0.2636, 0.2785, 0.2623, 706902.22, 0.2636, 0.2958, 0.3074, 0.2613, 1860617.93, 0.2958, 0.3006, 0.3023, 0.2823, 1347271.03, 0.3006, 0.3115, 0.34, 0.2963, 3151127, 0.3283 
0.2653, 0.2636, 0.2785, 0.2623, 706902.22, 0.2636, 0.2958, 0.3074, 0.2613, 1860617.93, 0.2958, 0.3006, 0.3023, 0.2823, 1347271.03, 0.3006, 0.3115, 0.34, 0.2963, 3151127, 0.3115, 0.3514, 0.3553, 0.3067, 2570859.75, 0.3437 
0.2636, 0.2958, 0.3074, 0.2613, 1860617.93, 0.2958, 0.3006, 0.3023, 0.2823, 1347271.03, 0.3006, 0.3115, 0.34, 0.2963, 3151127, 0.3115, 0.3514, 0.3553, 0.3067, 2570859.75, 0.3514, 0.3193, 0.3617, 0.3125, 2429018.42, 0.3099 
0.2958, 0.3006, 0.3023, 0.2823, 1347271.03, 0.3006, 0.3115, 0.34, 0.2963, 3151127, 0.3115, 0.3514, 0.3553, 0.3067, 2570859.75, 0.3514, 0.3193, 0.3617, 0.3125, 2429018.42, 0.3193, 0.3355, 0.3368, 0.3135, 811962.82, 0.3345 
0.3006, 0.3115, 0.34, 0.2963, 3151127, 0.3115, 0.3514, 0.3553, 0.3067, 2570859.75, 0.3514, 0.3193, 0.3617, 0.3125, 2429018.42, 0.3193, 0.3355, 0.3368, 0.3135, 811962.82, 0.3355, 0.3441, 0.3512, 0.3331, 1373243.51, 0.3202 
0.3115, 0.3514, 0.3553, 0.3067, 2570859.75, 0.3514, 0.3193, 0.3617, 0.3125, 2429018.42, 0.3193, 0.3355, 0.3368, 0.3135, 811962.82, 0.3355, 0.3441, 0.3512, 0.3331, 1373243.51, 0.3441, 0.3642, 0.3897, 0.3424, 2980665.32, 0.3185 
0.3514, 0.3193, 0.3617, 0.3125, 2429018.42, 0.3193, 0.3355, 0.3368, 0.3135, 811962.82, 0.3355, 0.3441, 0.3512, 0.3331, 1373243.51, 0.3441, 0.3642, 0.3897, 0.3424, 2980665.32, 0.3642, 0.3283, 0.3644, 0.3141, 1365228.1, 0.2937 
